Date,Truworth,TFG
2005/10/21,1902,4320
2005/10/24,1940,4400
2005/10/25,1855,4336
2005/10/26,1900,4405
2005/10/27,1880,4325
2005/10/28,1865,4300
2005/10/31,1900,4275
2005/11/01,1930,4380
2005/11/02,2010,4610
2005/11/03,2080,4750
2005/11/04,2050,4730
2005/11/07,2040,4740
2005/11/08,2041,4685
2005/11/09,2030,4680
2005/11/10,2040,4575
2005/11/11,2030,4550
2005/11/14,2025,4550
2005/11/15,2035,4520
2005/11/16,2060,4550
2005/11/17,2010,4505
2005/11/18,2045,4589
2005/11/21,2051,4589
2005/11/22,2050,4530
2005/11/23,2060,4560
2005/11/24,2060,4700
2005/11/25,2020,4730
2005/11/28,2026,4700
2005/11/29,1991,4562
2005/11/30,2000,4535
2005/12/01,1990,4550
2005/12/02,2017,4654
2005/12/05,2001,4571
2005/12/06,2112,4625
2005/12/07,2100,4800
2005/12/08,2056,4700
2005/12/09,2080,4770
2005/12/12,2110,4832
2005/12/13,2100,4881
2005/12/14,2112,4875
2005/12/15,2115,4856
2005/12/19,2115,4960
2005/12/20,2110,4960
2005/12/21,2130,4940
2005/12/22,2178,4966
2005/12/23,2225,5080
2005/12/27,2280,5125
2005/12/28,2300,5105
2005/12/29,2333,5230
2005/12/30,2400,5210
2006/01/03,2425,5241
2006/01/04,2426,5425
2006/01/05,2397,5397
2006/01/06,2431,5375
2006/01/09,2486,5511
2006/01/10,2550,5576
2006/01/11,2501,5610
2006/01/12,2500,5651
2006/01/13,2514,5810
2006/01/16,2482,5781
2006/01/17,2530,5771
2006/01/18,2500,5723
2006/01/19,2550,5866
2006/01/20,2530,5785
2006/01/23,2580,5745
2006/01/24,2560,5735
2006/01/25,2558,5625
2006/01/26,2520,5625
2006/01/27,2550,5780
2006/01/30,2550,5765
2006/01/31,2555,5800
2006/02/01,2576,5790
2006/02/02,2575,5690
2006/02/03,2535,5550
2006/02/06,2480,5470
2006/02/07,2485,5440
2006/02/08,2460,5410
2006/02/09,2500,5601
2006/02/10,2569,5800
2006/02/13,2505,5827
2006/02/14,2448,5685
2006/02/15,2449,5760
2006/02/16,2500,5802
2006/02/17,2570,5861
2006/02/20,2565,5855
2006/02/21,2509,5900
2006/02/22,2550,5990
2006/02/23,2650,5990
2006/02/24,2655,6025
2006/02/27,2710,5905
2006/02/28,2610,5710
2006/03/02,2650,5861
2006/03/03,2616,5750
2006/03/06,2650,5820
2006/03/07,2640,5750
2006/03/08,2580,5700
2006/03/09,2600,5698
2006/03/10,2659,5705
2006/03/13,2600,5705
2006/03/14,2680,5810
2006/03/15,2710,5865
2006/03/16,2701,5875
2006/03/17,2691,5940
2006/03/20,2707,5960
2006/03/22,2780,6050
2006/03/23,2820,6085
2006/03/24,2862,6195
2006/03/27,2880,6130
2006/03/28,2900,6050
2006/03/29,2876,5990
2006/03/30,2840,5900
2006/03/31,2845,5826
2006/04/03,2870,5900
2006/04/04,2801,5891
2006/04/05,2900,6125
2006/04/06,2900,6170
2006/04/07,2900,6130
2006/04/10,2860,6165
2006/04/11,2801,6215
2006/04/12,2750,6225
2006/04/13,2777,6100
2006/04/18,2760,6206
2006/04/19,2740,6115
2006/04/20,2680,5980
2006/04/21,2671,5825
2006/04/24,2662,5800
2006/04/25,2715,5841
2006/04/26,2870,5930
2006/04/28,2900,6090
2006/05/02,2900,6110
2006/05/03,2880,6151
2006/05/04,2870,6270
2006/05/05,2900,6380
2006/05/08,2895,6384
2006/05/09,2861,6477
2006/05/10,2900,6340
2006/05/11,2900,6301
2006/05/12,2830,6060
2006/05/15,2688,5700
2006/05/16,2700,5781
2006/05/17,2640,5700
2006/05/18,2499,5551
2006/05/19,2411,5435
2006/05/22,2649,5320
2006/05/23,2541,5360
2006/05/24,2438,5215
2006/05/25,2505,5211
2006/05/26,2525,5250
2006/05/29,2540,5510
2006/05/30,2491,5521
2006/05/31,2415,5410
2006/06/01,2531,5405
2006/06/02,2611,5611
2006/06/05,2650,5530
2006/06/06,2495,5450
2006/06/07,2350,5240
2006/06/08,2200,4971
2006/06/09,2300,4950
2006/06/12,2350,5000
2006/06/13,2250,4775
2006/06/14,2306,4757
2006/06/15,2360,4980
2006/06/19,2465,5100
2006/06/20,2352,5000
2006/06/21,2320,4880
2006/06/22,2150,4560
2006/06/23,2055,4320
2006/06/26,1960,4100
2006/06/27,2005,4140
2006/06/28,2011,4222
2006/06/29,2020,4450
2006/06/30,2150,4575
2006/07/03,2270,4650
2006/07/04,2240,4764
2006/07/05,2100,4599
2006/07/06,2100,4689
2006/07/07,2052,4555
2006/07/10,2115,4430
2006/07/11,2170,4400
2006/07/12,2278,4460
2006/07/13,2200,4318
2006/07/14,2160,4325
2006/07/17,2050,4168
2006/07/18,2065,4129
2006/07/19,2106,4300
2006/07/20,2175,4400
2006/07/21,2220,4355
2006/07/24,2205,4400
2006/07/25,2211,4449
2006/07/26,2257,4626
2006/07/27,2245,4519
2006/07/28,2201,4480
2006/07/31,2250,4440
2006/08/01,2170,4359
2006/08/02,2125,4278
2006/08/03,2150,4210
2006/08/04,2100,4180
2006/08/07,2120,4279
2006/08/08,2125,4350
2006/08/10,2150,4401
2006/08/11,2200,4493
2006/08/14,2220,4438
2006/08/15,2220,4438
2006/08/16,2300,4528
2006/08/17,2382,4719
2006/08/18,2365,4690
2006/08/21,2335,4589
2006/08/22,2290,4550
2006/08/23,2265,4444
2006/08/24,2330,4480
2006/08/25,2275,4500
2006/08/28,2299,4400
2006/08/29,2332,4470
2006/08/30,2357,4520
2006/08/31,2292,4500
2006/09/01,2270,4285
2006/09/04,2186,4180
2006/09/05,2211,4230
2006/09/06,2255,4260
2006/09/07,2230,4240
2006/09/08,2271,4255
2006/09/11,2185,4100
2006/09/12,2231,4189
2006/09/13,2262,4250
2006/09/14,2255,4240
2006/09/15,2231,4161
2006/09/18,2285,4254
2006/09/19,2341,4340
2006/09/20,2340,4425
2006/09/21,2359,4530
2006/09/22,2300,4490
2006/09/26,2330,4498
2006/09/27,2352,4590
2006/09/28,2375,4601
2006/09/29,2331,4600
2006/10/02,2365,4525
2006/10/03,2398,4550
2006/10/04,2460,4630
2006/10/05,2435,4600
2006/10/06,2400,4585
