Date,Impla Plat,Anglo Plat
2005/06/27,7500,29200
2005/06/28,7562.5,29100
2005/06/29,7561.25,29905
2005/06/30,7462.5,29800
2005/07/01,7437.5,30000
2005/07/04,7436.25,30401
2005/07/05,7435,30210
2005/07/06,7425,30200
2005/07/07,7375,30300
2005/07/08,7443.75,30900
2005/07/11,7537.5,31705
2005/07/12,7500,30700
2005/07/13,7487.5,30000
2005/07/14,7575,30200
2005/07/15,7631.25,29861
2005/07/18,7650,30400
2005/07/19,7725,30500
2005/07/20,7660,30150
2005/07/21,7662.375,30295
2005/07/22,7687.5,30300
2005/07/25,7687.375,30800
2005/07/26,7687.5,30010
2005/07/27,7699.875,30000
2005/07/28,7712.5,29000
2005/07/29,7606.25,29200
2005/08/01,7487.5,29000
2005/08/02,7562.5,29000
2005/08/03,7737.5,29800
2005/08/04,7857.875,30700
2005/08/05,7862.5,29900
2005/08/08,7950,30299
2005/08/10,7887.5,31000
2005/08/11,7812.5,31350
2005/08/12,7837.375,32000
2005/08/15,7987.5,33350
2005/08/16,7962.5,32999
2005/08/17,7799.625,32350
2005/08/18,7703.125,32250
2005/08/19,7695,32174
2005/08/22,7876.875,31900
2005/08/23,7965.5,31800
2005/08/24,7912.5,31200
2005/08/25,7843.125,30470
2005/08/26,7788.75,29880
2005/08/29,7912.5,30500
2005/08/30,8087.5,30500
2005/08/31,8375.125,31050
2005/09/01,8625,32000
2005/09/02,8562.5,32002
2005/09/05,8481.25,31501
2005/09/06,8562.5,32351
2005/09/07,8625,32300
2005/09/08,8690.125,31449
2005/09/09,8787.375,30800
2005/09/12,9150.625,31500
2005/09/13,8724.875,31400
2005/09/14,8743.75,31300
2005/09/15,9012.875,32350
2005/09/16,9037.5,33399
2005/09/19,8637.375,34100
2005/09/20,8487.5,32300
2005/09/21,8812.625,32300
2005/09/22,8887.5,32300
2005/09/23,8756.25,32500
2005/09/26,8774.375,34100
2005/09/27,8712.5,35100
2005/09/28,8775,35700
2005/09/29,9000,37000
2005/09/30,9037.5,37500
2005/10/03,8875.125,36770
2005/10/04,8687.5,35510
2005/10/05,8937.5,35300
2005/10/06,8750.125,34600
2005/10/07,8525,34600
2005/10/10,8500,34000
2005/10/11,8662.5,35200
2005/10/12,9137.5,37115
2005/10/13,8902.5,36600
2005/10/14,8625,36000
2005/10/17,8787.5,36550
2005/10/18,8688.125,36475
2005/10/19,8593.75,36400
2005/10/20,8724.875,36539
2005/10/21,8725,35250
2005/10/24,8875,36410
2005/10/25,8788.75,37000
2005/10/26,9287.5,39800
2005/10/27,9329.125,41400
2005/10/28,9481.25,40200
2005/10/31,9188.125,39000
2005/11/01,9637.5,39700
2005/11/02,9562.5,38202
2005/11/03,9687.375,40700
2005/11/04,9787.5,41700
2005/11/07,10063.125,44000
2005/11/08,9925,43200
2005/11/09,10100,44400
2005/11/10,10458.75,45002
2005/11/11,10825,46200
2005/11/14,11236.375,46200
2005/11/15,11187.5,46801
2005/11/16,11025,48000
2005/11/17,10950,47801
2005/11/18,11137.5,49150
2005/11/21,11250,48500
2005/11/22,10837.5,46800
2005/11/23,10756.25,45400
2005/11/24,11250,46800
2005/11/25,11062.5,45000
2005/11/28,10687.5,45900
2005/11/29,10437.5,44997
2005/11/30,10575,42803
2005/12/01,10575,43001
2005/12/02,10600,43500
2005/12/05,10562.5,43450
2005/12/06,10625,43000
2005/12/07,10887.5,44500
2005/12/08,11062.5,44000
2005/12/09,11187.5,44900
2005/12/12,11499.875,46352
2005/12/13,11319.375,45400
2005/12/14,11249.375,44200
2005/12/15,11125,44444
2005/12/19,11425,44822
2005/12/20,11537.5,45400
2005/12/21,11625,45300
2005/12/22,11786.875,45700
2005/12/23,11837.5,45750
2005/12/27,11875,46000
2005/12/28,11688.125,45105
2005/12/29,11662.5,46000
2005/12/30,11650,45700
2006/01/03,12125,48300
2006/01/04,11812.5,48100
2006/01/05,11600,47000
2006/01/06,11550,46477
2006/01/09,11512.5,46000
2006/01/10,11750,45810
2006/01/11,11937.5,46000
2006/01/12,12000,45500
2006/01/13,11868.75,45490
2006/01/16,11550,44900
2006/01/17,11375,44600
2006/01/18,11250,44299
2006/01/19,11812.125,45450
2006/01/20,11961.25,45800
2006/01/23,11750,44600
2006/01/24,11887.625,45000
2006/01/25,12325,46307
2006/01/26,12437.5,46500
2006/01/27,13062.5,47500
2006/01/30,13025,48560
2006/01/31,13125,50400
2006/02/01,13250,52060
2006/02/02,13437.5,53695
2006/02/03,13150,52600
2006/02/06,13725,54980
2006/02/07,13537.5,54700
2006/02/08,12675,51000
2006/02/09,12500,51530
2006/02/10,12946.25,50605
2006/02/13,12262.5,49000
2006/02/14,11887.5,46050
2006/02/15,12325,47030
2006/02/16,12562.5,46000
2006/02/17,14500,50500
2006/02/20,14062.5,50100
2006/02/21,13475,49800
2006/02/22,13425,49600
2006/02/23,13075,49120
2006/02/24,13312.5,50000
2006/02/27,13312.5,50550
2006/02/28,13125,49250
2006/03/02,13439.125,50508
2006/03/03,13540,50650
2006/03/06,12687.5,50800
2006/03/07,11775.125,47552
2006/03/08,12250,48505
2006/03/09,12725,48250
2006/03/10,12762.5,48026
2006/03/13,12812.5,48600
2006/03/14,12925,48802
2006/03/15,13900,50900
2006/03/16,13600,50500
2006/03/17,14062.5,54200
2006/03/20,14100,54810
2006/03/22,13878.25,52999
2006/03/23,14375,53949
2006/03/24,14500,53980
2006/03/27,15312.5,57500
2006/03/28,14437.5,56199
2006/03/29,14571.75,56344
2006/03/30,14875,57500
2006/03/31,14562.5,55938
2006/04/03,15187.5,57900
2006/04/04,15000,57850
2006/04/05,15437.625,57205
2006/04/06,15500,57650
2006/04/07,14875,56534
2006/04/10,14747.5,57600
2006/04/11,14625,60100
2006/04/12,14750,62200
2006/04/13,14375,60800
2006/04/18,14212.5,59885
2006/04/19,13750,58500
2006/04/20,13874.875,56004
2006/04/21,13750,55400
2006/04/24,13762.75,57700
2006/04/25,14003.75,59500
2006/04/26,14750,61000
2006/04/28,14250,58101
2006/05/02,14876.25,60530
2006/05/03,14637.5,61000
2006/05/04,14912.5,64000
2006/05/05,15275,65700
2006/05/08,15362.5,65500
2006/05/09,16076.25,67805
2006/05/10,17137.5,70350
2006/05/11,16562.5,68491
2006/05/12,16500,67500
2006/05/15,15312.5,61500
2006/05/16,15100,61000
2006/05/17,15187.5,60105
2006/05/18,15107.375,61001
2006/05/19,14949.75,61200
2006/05/22,13875,57000
2006/05/23,14537.5,60000
2006/05/24,13875,58100
2006/05/25,13750,58416
2006/05/26,14293.75,60500
2006/05/29,14625,61499
2006/05/30,14125,60051
2006/05/31,14187.5,59700
2006/06/01,14475,58500
2006/06/02,15075,59200
2006/06/05,14937.5,58500
2006/06/06,14001.25,57200
2006/06/07,13625,57100
2006/06/08,12500,53000
2006/06/09,13750,56929
2006/06/12,12882.75,55300
2006/06/13,12125,51300
2006/06/14,12000,52000
2006/06/15,12625,56888
2006/06/19,13012.5,60000
2006/06/20,14000,63299
2006/06/21,14625,67050
2006/06/22,14945,68190
2006/06/23,14750,70781
2006/06/26,15324.875,73500
2006/06/27,15437.5,69000
2006/06/28,15840,69900
2006/06/29,16712.5,72500
2006/06/30,16497.75,75500
2006/07/03,18000,77500
2006/07/04,17125,75000
2006/07/05,16250,72000
2006/07/06,16187.5,74400
2006/07/07,16380.125,74600
2006/07/10,16136.875,74050
2006/07/11,16237.5,72500
2006/07/12,16806.25,75000
2006/07/13,16400,73700
2006/07/14,15825.25,71510
2006/07/17,15150,69118
2006/07/18,14987.375,71020
2006/07/19,15550,71100
2006/07/20,15375,69000
2006/07/21,15000,65000
2006/07/24,14938.75,65100
2006/07/25,14930,66000
2006/07/26,15000,67000
2006/07/27,15687.625,70000
2006/07/28,15350,69325
2006/07/31,16000,71000
2006/08/01,16125,72101
2006/08/02,16618.75,74600
2006/08/03,16562.5,74300
2006/08/04,16625,75861
2006/08/07,16000,75520
2006/08/08,16437.5,75200
2006/08/10,15750,70800
2006/08/11,15750,73245
2006/08/14,15749.875,75050
2006/08/15,16057,76000
2006/08/16,15800,78200
2006/08/17,15752.25,80500
2006/08/18,15275,77800
2006/08/21,15937.5,77200
2006/08/22,16500,79000
2006/08/23,16098.25,77500
2006/08/24,16549.375,82000
2006/08/25,16600.625,83900
2006/08/28,16962.5,84500
2006/08/29,16400,81810
2006/08/30,16937.5,83450
2006/08/31,16687.5,80800
2006/09/01,16687.5,82400
2006/09/04,16912.5,83000
2006/09/05,16875,83000
2006/09/06,16937.5,83001
2006/09/07,16400,79800
2006/09/08,16125,76500
2006/09/11,15626.25,71400
2006/09/12,15850,71400
2006/09/13,15402.5,71800
2006/09/14,15000.125,72100
2006/09/15,15387.5,73650
2006/09/18,15162.125,73000
2006/09/19,15000,72100
2006/09/20,15150,73400
2006/09/21,15125,76300
2006/09/22,16124.875,78000
2006/09/26,16750,80000
2006/09/27,16537.5,78000
2006/09/28,16625,79201
2006/09/29,16062.5,78701
2006/10/02,16375,79300
2006/10/03,16000,77800
2006/10/04,15901,77999
2006/10/05,15812.5,78500
2006/10/06,15750,79300
2006/10/09,16012.5,81500
2006/10/10,15625,81200
2006/10/11,16000,79600
2006/10/12,16100,79600
2006/10/13,16187.5,79600
2006/10/16,16625,80100
2006/10/17,16250,81400
2006/10/18,16125,81000
2006/10/19,16112.5,81850
2006/10/20,16250,83200
2006/10/23,16250,83425
2006/10/24,16375.125,84000
2006/10/25,16512.625,83900
2006/10/26,16750,81105
2006/10/27,16250,78601
2006/10/30,16062.5,78800
2006/10/31,16187.5,79000
2006/11/01,16512.5,80000
2006/11/02,16436.25,79900
2006/11/03,16937.5,83001
2006/11/06,18250,88000
2006/11/07,18100,88000
2006/11/08,17850,85600
2006/11/09,17682,84220
2006/11/10,18125,84500
2006/11/13,17745,83300
2006/11/14,17850,83505
2006/11/15,17090,81490
2006/11/16,16700,78500
2006/11/17,15900,74200
2006/11/20,17195,80900
2006/11/21,17600,81450
2006/11/22,17200,78800
2006/11/23,17000,79900
2006/11/24,17240,79200
2006/11/27,17160,79600
2006/11/28,17000,78326
2006/11/29,17350,80200
2006/11/30,18100,82790
2006/12/01,18000,82700
2006/12/04,17910,82850
2006/12/05,17900,82850
2006/12/06,17699,82600
2006/12/07,17800,81800
2006/12/08,17810,81960
2006/12/11,17740,81200
2006/12/12,17300,79100
2006/12/13,17061,79400
2006/12/14,17625,80450
2006/12/15,17760,81020
2006/12/18,17720,82280
2006/12/19,17500,82470
2006/12/20,17600,84999
2006/12/21,18400,87400
2006/12/22,18250,85000
2006/12/27,18390,86000
2006/12/28,18375,86300
2006/12/29,18400,85603
2007/01/02,18599,85700
2007/01/03,17800,83900
2007/01/04,16910,80800
2007/01/05,16700,80600
2007/01/09,17475,80000
2007/01/10,17330,81400
2007/01/11,17600,81150
2007/01/12,18300,85000
2007/01/15,19000,89600
2007/01/16,19170,91100
2007/01/17,19050,89600
2007/01/18,19200,88900
2007/01/19,18700,86550
2007/01/22,19050,88000
2007/01/23,19210,88490
2007/01/24,19950,89400
2007/01/25,20450,90500
2007/01/26,21000,90610
2007/01/29,21000,90525
2007/01/30,20600,90500
2007/01/31,20755,90800
2007/02/01,21650,93000
2007/02/02,21100,92750
2007/02/05,20500,91000
2007/02/06,21051,91100
2007/02/07,20800,90500
2007/02/08,20200,88500
