Date,PPC,WHBO
2006/07/14,3710,5300
2006/07/17,3675,5200
2006/07/18,3623.5,5150
2006/07/19,3734.5,5150
2006/07/20,3740,5200
2006/07/21,3650,5225
2006/07/24,3670,5300
2006/07/25,3710,5398
2006/07/26,3710,5400
2006/07/27,3704,5499
2006/07/28,3699.5,5499
2006/07/31,3700,5450
2006/08/01,3687.6,5330
2006/08/02,3654.5,5350
2006/08/03,3669.5,5350
2006/08/04,3750,5302
2006/08/07,3710,5350
2006/08/08,3725,5350
2006/08/10,3670,5500
2006/08/11,3750,5701
2006/08/14,3820,5845
2006/08/15,3900,5800
2006/08/16,3915,5805
2006/08/17,3969.5,5840
2006/08/18,3920,5790
2006/08/21,3880,5785
2006/08/22,3869.5,5785
2006/08/23,3833.8,5800
2006/08/24,3820,5800
2006/08/25,3834,5800
2006/08/28,3850,5850
2006/08/29,3888.9,5850
2006/08/30,3875,5875
2006/08/31,3890,5840
2006/09/01,4004.8,5850
2006/09/04,4000,5850
2006/09/05,3945.1,5950
2006/09/06,3912.6,5930
2006/09/07,3741.8,5970
2006/09/08,3795,5975
2006/09/11,3675.4,5965
2006/09/12,3810,6073
2006/09/13,3810,6000
2006/09/14,3820,6030
2006/09/15,3800,6100
2006/09/18,3730,6051
2006/09/19,3832.5,6175
2006/09/20,3729,6143
2006/09/21,3574.3,6130
2006/09/22,3626.6,6150
2006/09/26,3670,6200
2006/09/27,3600,6250
2006/09/28,3570,6350
2006/09/29,3478.8,6390
2006/10/02,3510,6300
2006/10/03,3450,6300
2006/10/04,3390,6300
2006/10/05,3440,6330
2006/10/06,3490,6340
2006/10/09,3570,6300
2006/10/10,3630,6280
2006/10/11,3630,6329
2006/10/12,3615,6300
2006/10/13,3635,6300
2006/10/16,3720,6300
2006/10/17,3683,6250
2006/10/18,3685,6350
2006/10/19,3690,6300
2006/10/20,3630,6350
2006/10/23,3637.5,6350
2006/10/24,3709.1,6350
2006/10/25,3605,6500
2006/10/26,3720,6800
2006/10/27,3760,7000
2006/10/30,3770,6900
2006/10/31,3800,6920
2006/11/01,3770,7000
2006/11/02,3775,6975
2006/11/03,3845,6950
2006/11/06,3849.9,6950
2006/11/07,3800,7006
2006/11/08,3860,7011
