Date,MMI,OldMutual
2005/12/30,1185,1795
2006/01/03,1180,1809
2006/01/04,1200,1835
2006/01/05,1180,1835
2006/01/06,1180,1832
2006/01/09,1184,1838
2006/01/10,1205,1818
2006/01/11,1265,1819
2006/01/12,1275,1836
2006/01/13,1270,1879
2006/01/16,1240,1869
2006/01/17,1226,1857
2006/01/18,1240,1862
2006/01/19,1292,1892
2006/01/20,1300,1907
2006/01/23,1285,1908
2006/01/24,1260,1938
2006/01/25,1289,1945
2006/01/26,1280,1983
2006/01/27,1290,2005
2006/01/30,1279,2057
2006/01/31,1290,2083
2006/02/01,1296,2060
2006/02/02,1293,2080
2006/02/03,1275,2029
2006/02/06,1300,2054
2006/02/07,1282,2050
2006/02/08,1295,2012
2006/02/09,1300,1964
2006/02/10,1305,1946
2006/02/13,1310,1900
2006/02/14,1290,1931
2006/02/15,1325,1968
2006/02/16,1350,1980
2006/02/17,1350,1999
2006/02/20,1340,2010
2006/02/21,1330,2065
2006/02/22,1350,2089
2006/02/23,1350,2058
2006/02/24,1335,2090
2006/02/27,1350,2095
2006/02/28,1333,1950
2006/03/02,1329,2038
2006/03/03,1320,2033
2006/03/06,1325,2070
2006/03/07,1290,2002
2006/03/08,1290,1962
2006/03/09,1294,1990
2006/03/10,1320,1984
2006/03/13,1350,2023
2006/03/14,1349,2047
2006/03/15,1425,2102
2006/03/16,1409,2070
2006/03/17,1410,2125
2006/03/20,1415,2193
2006/03/22,1415,2244
2006/03/23,1415,2251
2006/03/24,1405,2240
2006/03/27,1420,2229
2006/03/28,1390,2165
2006/03/29,1400,2210
2006/03/30,1415,2190
2006/03/31,1415,2147
2006/04/03,1290,2151
2006/04/04,1290,2136
2006/04/05,1285,2115
2006/04/06,1280,2130
2006/04/07,1290,2145
2006/04/10,1270,2163
2006/04/11,1245,2166
2006/04/12,1230,2130
2006/04/13,1249,2076
2006/04/18,1269,2115
2006/04/19,1270,2150
2006/04/20,1280,2141
2006/04/21,1287,2100
2006/04/24,1280,2069
2006/04/25,1280,2100
2006/04/26,1290,2187
2006/04/28,1305,2139
2006/05/02,1302,2144
2006/05/03,1325,2139
2006/05/04,1330,2187
2006/05/05,1330,2234
2006/05/08,1335,2248
2006/05/09,1350,2241
2006/05/10,1349,2202
2006/05/11,1331,2166
2006/05/12,1315,2137
2006/05/15,1270,2151
2006/05/16,1270,2154
2006/05/17,1271,2145
2006/05/18,1230,2064
2006/05/19,1240,2065
2006/05/22,1220,2050
2006/05/23,1220,2082
2006/05/24,1240,2090
2006/05/25,1230,2063
2006/05/26,1279,2150
2006/05/29,1299,2101
2006/05/30,1269,2023
2006/05/31,1255,2090
2006/06/01,1256,2103
2006/06/02,1290,2151
2006/06/05,1260,2120
2006/06/06,1210,2053
2006/06/07,1200,2017
2006/06/08,1150,1860
2006/06/09,1150,1980
2006/06/12,1120,1968
2006/06/13,1060,1903
2006/06/14,1080,1927
2006/06/15,1130,1986
2006/06/19,1146,2072
2006/06/20,1190,2098
2006/06/21,1186,2130
2006/06/22,1150,2171
2006/06/23,1100,2151
2006/06/26,1060,2123
2006/06/27,1080,2100
2006/06/28,1080,2103
2006/06/29,1100,2126
2006/06/30,1180,2165
2006/07/03,1176,2143
2006/07/04,1160,2130
2006/07/05,1141,2115
2006/07/06,1145,2150
2006/07/07,1145,2150
2006/07/10,1145,2139
2006/07/11,1160,2129
2006/07/12,1165,2137
2006/07/13,1170,2050
2006/07/14,1131,2047
2006/07/17,1110,2020
2006/07/18,1125,1972
2006/07/19,1135,2063
2006/07/20,1180,1996
2006/07/21,1175,1975
2006/07/24,1175,2012
2006/07/25,1160,2005
2006/07/26,1190,2020
2006/07/27,1210,2093
2006/07/28,1240,2083
2006/07/31,1190,2090
2006/08/01,1160,2085
2006/08/02,1170,2104
2006/08/03,1200,2052
2006/08/04,1200,2099
2006/08/07,1200,2038
2006/08/08,1165,2033
2006/08/10,1165,1961
2006/08/11,1170,1978
2006/08/14,1165,2000
2006/08/15,1156,2019
2006/08/16,1170,2029
2006/08/17,1186,2099
2006/08/18,1166,2128
2006/08/21,1191,2165
2006/08/22,1189,2174
2006/08/23,1190,2120
2006/08/24,1163,2122
2006/08/25,1160,2134
2006/08/28,1177,2142
2006/08/29,1201,2146
2006/08/30,1240,2220
2006/08/31,1207,2250
2006/09/01,1240,2292
2006/09/04,1240,2310
2006/09/05,1240,2290
2006/09/06,1230,2277
2006/09/07,1220,2227
2006/09/08,1292,2216
2006/09/11,1250,2203
2006/09/12,1254,2273
2006/09/13,1280,2295
2006/09/14,1241,2275
2006/09/15,1240,2280
2006/09/18,1242,2238
2006/09/19,1245,2265
2006/09/20,1248,2297
2006/09/21,1245,2335
2006/09/22,1235,2340
2006/09/26,1235,2366
2006/09/27,1239,2394
2006/09/28,1235,2394
2006/09/29,1225,2419
2006/10/02,1210,2399
2006/10/03,1200,2388
2006/10/04,1209,2478
2006/10/05,1210,2443
2006/10/06,1205,2470
2006/10/09,1211,2439
2006/10/10,1216,2470
2006/10/11,1230,2476
2006/10/12,1264,2481
2006/10/13,1265,2467
2006/10/16,1305,2433
2006/10/17,1300,2441
2006/10/18,1310,2440
2006/10/19,1305,2417
2006/10/20,1300,2405
2006/10/23,1290,2446
2006/10/24,1300,2477
2006/10/25,1300,2411
2006/10/26,1270,2395
