Date,Group5,WHBO
2006/04/12,2900,5450
2006/04/13,2870,5565
2006/04/18,2900,5799
2006/04/19,2999,5780
2006/04/20,3000,5800
2006/04/21,3002,5950
2006/04/24,3016,5980
2006/04/25,3030,6002
2006/04/26,3050,6000
2006/04/28,3050,6000
2006/05/02,3015,6000
2006/05/03,3050,6000
2006/05/04,3060,5975
2006/05/05,3065,5975
2006/05/08,3110,5930
2006/05/09,3130,5930
2006/05/10,3130,5900
2006/05/11,3140,5830
2006/05/12,3200,5830
2006/05/15,3066,5525
2006/05/16,3065,5490
2006/05/17,3050,5500
2006/05/18,3040,5550
2006/05/19,3010,5575
2006/05/22,2950,5350
2006/05/23,2940,5244
2006/05/24,2850,5130
2006/05/25,2845,5070
2006/05/26,2830,5200
2006/05/29,2825,5300
2006/05/30,2850,5290
2006/05/31,2850,5290
2006/06/01,2851,5290
2006/06/02,2865,5360
2006/06/05,3000,5390
2006/06/06,2890,5340
2006/06/07,2805,5150
2006/06/08,2590,4950
2006/06/09,2589,4930
2006/06/12,2700,4897
2006/06/13,2649,4780
2006/06/14,2600,4762
2006/06/15,2677,5000
2006/06/19,2753,5200
2006/06/20,2730,5300
2006/06/21,2730,5390
2006/06/22,2751,5350
2006/06/23,2625,5050
2006/06/26,2651,5002
2006/06/27,2651,5000
2006/06/28,2750,5060
2006/06/29,2750,5100
2006/06/30,2875,5200
2006/07/03,2839,5174
2006/07/04,2900,5300
2006/07/05,2901,5290
2006/07/06,2915,5248
2006/07/07,2900,5245
2006/07/10,2900,5245
2006/07/11,2924,5220
2006/07/12,3000,5400
2006/07/13,2960,5300
2006/07/14,2950,5300
2006/07/17,2726,5200
2006/07/18,2815,5150
2006/07/19,2900,5150
2006/07/20,2950,5200
2006/07/21,2850,5225
2006/07/24,2900,5300
2006/07/25,2910,5398
2006/07/26,2915,5400
2006/07/27,2914,5499
2006/07/28,2900,5499
2006/07/31,2950,5450
2006/08/01,2900,5330
2006/08/02,2900,5350
2006/08/03,2869,5350
2006/08/04,2900,5302
2006/08/07,2910,5350
2006/08/08,2935,5350
2006/08/10,3050,5500
2006/08/11,3175,5701
2006/08/14,3180,5845
2006/08/15,3180,5800
2006/08/16,3170,5805
2006/08/17,3180,5840
2006/08/18,3210,5790
2006/08/21,3205,5785
2006/08/22,3200,5785
2006/08/23,3199,5800
2006/08/24,3101,5800
2006/08/25,3100,5800
2006/08/28,3120,5850
2006/08/29,3115,5850
2006/08/30,3100,5875
2006/08/31,3115,5840
2006/09/01,3115,5850
2006/09/04,3050,5850
2006/09/05,3120,5950
2006/09/06,3109,5930
2006/09/07,3100,5970
2006/09/08,3090,5975
2006/09/11,3030,5965
2006/09/12,3070,6073
2006/09/13,3150,6000
2006/09/14,3315,6030
2006/09/15,3325,6100
2006/09/18,3425,6051
2006/09/19,3430,6175
2006/09/20,3425,6143
2006/09/21,3450,6130
2006/09/22,3400,6150
2006/09/26,3550,6200
2006/09/27,3509,6250
2006/09/28,3500,6350
2006/09/29,3500,6390
2006/10/02,3505,6300
2006/10/03,3512,6300
2006/10/04,3520,6300
2006/10/05,3650,6330
2006/10/06,3680,6340
2006/10/09,3660,6300
2006/10/10,3650,6280
2006/10/11,3640,6329
2006/10/12,3650,6300
2006/10/13,3700,6300
2006/10/16,3690,6300
2006/10/17,3620,6250
