Date,M&R,WHBO
2005/11/10,2045,4150
2005/11/11,2020,4140
2005/11/14,1970,4180
2005/11/15,1900,4120
2005/11/16,1889,4170
2005/11/17,1880,4160
2005/11/18,1900,4170
2005/11/21,1935,4115
2005/11/22,1930,4000
2005/11/23,1940,4075
2005/11/24,1960,4080
2005/11/25,1910,4080
2005/11/28,1890,4079
2005/11/29,1900,4050
2005/11/30,1890,4029
2005/12/01,1875,4027
2005/12/02,1910,3950
2005/12/05,1920,3960
2005/12/06,1950,4000
2005/12/07,1930,4050
2005/12/08,1890,4039
2005/12/09,1870,4035
2005/12/12,1890,4057
2005/12/13,1885,4085
2005/12/14,1880,4200
2005/12/15,1925,4300
2005/12/19,1935,4300
2005/12/20,1950,4250
2005/12/21,1935,4290
2005/12/22,1930,4325
2005/12/23,1930,4300
2005/12/27,1935,4350
2005/12/28,1930,4425
2005/12/29,1940,4425
2005/12/30,1960,4400
2006/01/03,2020,4420
2006/01/04,2074,4525
2006/01/05,2050,4575
2006/01/06,2100,4600
2006/01/09,2134,4650
2006/01/10,2120,4740
2006/01/11,2115,4850
2006/01/12,2174,5000
2006/01/13,2085,4800
2006/01/16,2040,4990
2006/01/17,2010,4950
2006/01/18,1999,4945
2006/01/19,2000,5000
2006/01/20,1984,5000
2006/01/23,1970,5000
2006/01/24,1970,4988
2006/01/25,1980,4985
2006/01/26,2024,5000
2006/01/27,2036,4985
2006/01/30,2085,4980
2006/01/31,2110,4850
2006/02/01,2181,4860
2006/02/02,2200,4900
2006/02/03,2190,4900
2006/02/06,2200,4925
2006/02/07,2225,4850
2006/02/08,2200,4800
2006/02/09,2225,4900
2006/02/10,2190,4840
2006/02/13,2110,4845
2006/02/14,2137,4850
2006/02/15,2190,4850
2006/02/16,2160,4880
2006/02/17,2202,4900
2006/02/20,2215,4950
2006/02/21,2205,4950
2006/02/22,2225,5010
2006/02/23,2225,5020
2006/02/24,2235,5010
2006/02/27,2311,5180
2006/02/28,2281,5250
2006/03/02,2385,5500
2006/03/03,2401,5511
2006/03/06,2520,5620
2006/03/07,2465,5500
2006/03/08,2450,5499
2006/03/09,2480,5389
2006/03/10,2480,5400
2006/03/13,2600,5590
2006/03/14,2610,5620
2006/03/15,2601,5700
2006/03/16,2595,5680
2006/03/17,2580,5627
2006/03/20,2620,5630
2006/03/22,2776,5800
2006/03/23,2800,5970
2006/03/24,2805,5990
2006/03/27,2835,5970
2006/03/28,2850,5900
2006/03/29,2780,5900
2006/03/30,2785,5800
2006/03/31,2770,5650
2006/04/03,2764,5700
2006/04/04,2761,5700
2006/04/05,2775,5690
2006/04/06,2700,5600
2006/04/07,2640,5600
2006/04/10,2706,5570
2006/04/11,2784,5500
2006/04/12,2700,5450
2006/04/13,2685,5565
2006/04/18,2725,5799
2006/04/19,2715,5780
2006/04/20,2700,5800
2006/04/21,2640,5950
2006/04/24,2641,5980
2006/04/25,2655,6002
2006/04/26,2725,6000
2006/04/28,2720,6000
2006/05/02,2710,6000
2006/05/03,2710,6000
2006/05/04,2725,5975
2006/05/05,2670,5975
2006/05/08,2637,5930
2006/05/09,2711,5930
2006/05/10,2735,5900
2006/05/11,2745,5830
2006/05/12,2723,5830
2006/05/15,2635,5525
2006/05/16,2650,5490
2006/05/17,2650,5500
2006/05/18,2625,5550
2006/05/19,2549,5575
2006/05/22,2520,5350
2006/05/23,2519,5244
2006/05/24,2515,5130
2006/05/25,2540,5070
2006/05/26,2550,5200
2006/05/29,2512,5300
2006/05/30,2528,5290
2006/05/31,2451,5290
2006/06/01,2472,5290
2006/06/02,2500,5360
2006/06/05,2500,5390
2006/06/06,2425,5340
2006/06/07,2130,5150
2006/06/08,2215,4950
2006/06/09,2180,4930
2006/06/12,2255,4897
2006/06/13,2250,4780
2006/06/14,2350,4762
2006/06/15,2500,5000
2006/06/19,2543,5200
2006/06/20,2580,5300
2006/06/21,2520,5390
2006/06/22,2520,5350
2006/06/23,2500,5050
2006/06/26,2400,5002
2006/06/27,2400,5000
2006/06/28,2401,5060
2006/06/29,2410,5100
2006/06/30,2540,5200
2006/07/03,2650,5174
2006/07/04,2585,5300
2006/07/05,2561,5290
2006/07/06,2592,5248
2006/07/07,2615,5245
2006/07/10,2601,5245
2006/07/11,2666,5220
2006/07/12,2702,5400
2006/07/13,2666,5300
2006/07/14,2574,5300
2006/07/17,2521,5200
2006/07/18,2540,5150
2006/07/19,2580,5150
2006/07/20,2600,5200
2006/07/21,2600,5225
2006/07/24,2686,5300
2006/07/25,2655,5398
2006/07/26,2640,5400
2006/07/27,2600,5499
2006/07/28,2550,5499
2006/07/31,2521,5450
2006/08/01,2536,5330
2006/08/02,2550,5350
2006/08/03,2600,5350
2006/08/04,2641,5302
2006/08/07,2660,5350
2006/08/08,2775,5350
2006/08/10,2915,5500
2006/08/11,3021,5701
2006/08/14,2975,5845
2006/08/15,2980,5800
2006/08/16,3045,5805
2006/08/17,3130,5840
2006/08/18,3050,5790
2006/08/21,3000,5785
2006/08/22,2990,5785
2006/08/23,2944,5800
2006/08/24,2920,5800
2006/08/25,3000,5800
2006/08/28,3015,5850
2006/08/29,3046,5850
2006/08/30,3030,5875
2006/08/31,2915,5840
2006/09/01,3007,5850
2006/09/04,3040,5850
2006/09/05,3100,5950
2006/09/06,3200,5930
2006/09/07,3100,5970
2006/09/08,3120,5975
2006/09/11,3076,5965
2006/09/12,3180,6073
2006/09/13,3240,6000
2006/09/14,3210,6030
2006/09/15,3251,6100
2006/09/18,3300,6051
2006/09/19,3320,6175
2006/09/20,3325,6143
2006/09/21,3260,6130
2006/09/22,3261,6150
2006/09/26,3230,6200
2006/09/27,3200,6250
2006/09/28,3200,6350
2006/09/29,3200,6390
2006/10/02,3204,6300
2006/10/03,3200,6300
2006/10/04,3200,6300
2006/10/05,3255,6330
2006/10/06,3301,6340
2006/10/09,3326,6300
2006/10/10,3365,6280
2006/10/11,3380,6329
2006/10/12,3501,6300
2006/10/13,3510,6300
2006/10/16,3594,6300
2006/10/17,3500,6250
2006/10/18,3450,6350
2006/10/19,3370,6300
2006/10/20,3350,6350
2006/10/23,3325,6350
2006/10/24,3440,6350
2006/10/25,3650,6500
2006/10/26,3880,6800
2006/10/27,3800,7000
2006/10/30,3725,6900
2006/10/31,3805,6920
2006/11/01,3945,7000
2006/11/02,3880,6975
2006/11/03,3880,6950
2006/11/06,3861,6950
2006/11/07,3859,7006
2006/11/08,3810,7011
2006/11/09,3720,7035
2006/11/10,3720,7035
2006/11/13,3735,6925
2006/11/14,3775,7000
2006/11/15,3791,6970
2006/11/16,3770,7000
2006/11/17,3790,7008
2006/11/20,3810,7020
2006/11/21,3850,7169
2006/11/22,3865,7325
2006/11/23,3880,7310
2006/11/24,3850,7325
2006/11/27,3875,7320
2006/11/28,3800,7293
2006/11/29,3815,7200
2006/11/30,3900,7305
2006/12/01,4150,7400
2006/12/04,4050,7375
2006/12/05,4135,7400
2006/12/06,4105,7450
2006/12/07,4017,7450
2006/12/08,4035,7350
2006/12/11,4030,7300
2006/12/12,3950,7300
2006/12/13,3940,7300
2006/12/14,3970,7340
2006/12/15,3960,7340
2006/12/18,3950,7300
2006/12/19,3914,7200
2006/12/20,3960,7300
2006/12/21,4000,7300
2006/12/22,4006,7300
2006/12/27,4030,7299
2006/12/28,4011,7300
2006/12/29,4010,7300
2007/01/02,4040,7295
2007/01/03,4006,7250
2007/01/04,4011,7203
2007/01/05,3990,7100
2007/01/09,4010,7100
2007/01/10,3995,7100
2007/01/11,4040,7100
2007/01/12,4124,7200
2007/01/15,4135,7256
2007/01/16,4309,7311
2007/01/17,4500,7530
2007/01/18,4570,7600
2007/01/19,4520,7600
2007/01/22,4500,7550
2007/01/23,4575,7550
2007/01/24,4675,7620
2007/01/25,4740,7700
2007/01/26,4780,7650
2007/01/29,4770,7650
2007/01/30,4650,7725
2007/01/31,4725,7850
2007/02/01,4800,7800
2007/02/02,4780,7820
2007/02/05,4700,7950
2007/02/06,4675,8004
2007/02/07,4725,8000
2007/02/08,4750,8050
2007/02/09,4900,8100
2007/02/12,4850,8050
2007/02/13,4881,8102
2007/02/14,4960,8250
2007/02/15,5125,8225
2007/02/16,5311,8230
2007/02/19,5435,8295
2007/02/20,5440,8250
2007/02/21,5305,8200
2007/02/22,5410,8402
2007/02/23,5400,8500
2007/02/26,5415,8600
2007/02/27,5480,8450
2007/02/28,5360,8500
2007/03/01,5301,8300
2007/03/02,5230,8350
2007/03/05,5060,8145
2007/03/06,5230,8200
2007/03/07,5410,8350
2007/03/08,5485,8299
2007/03/09,5450,8250
2007/03/12,5550,8160
2007/03/13,5401,7960
2007/03/14,5380,7840
2007/03/15,5475,7900
2007/03/16,5505,7995
2007/03/19,5560,7901
2007/03/20,5671,8080
2007/03/22,5810,8201
2007/03/23,5935,8269
2007/03/26,5955,8300
2007/03/27,5750,8270
2007/03/28,5500,8245
2007/03/29,5570,8250
2007/03/30,5596,8779
2007/04/02,5760,8500
2007/04/03,5831,8500
2007/04/04,5850,8799
2007/04/05,5825,8535
2007/04/10,5950,8700
2007/04/11,5900,8600
2007/04/12,5885,8600
2007/04/13,6151,8650
2007/04/16,6310,8600
2007/04/17,6300,8700
2007/04/18,6150,8700
2007/04/19,6160,8695
2007/04/20,6175,8950
2007/04/23,6085,9425
2007/04/24,6095,9185
2007/04/25,6050,9200
2007/04/26,6000,9200
2007/04/30,6085,9250
2007/05/02,6025,9250
2007/05/03,6060,9035
2007/05/04,6070,9068
2007/05/07,6250,9120
2007/05/08,6250,9150
2007/05/09,6151,9200
2007/05/10,6271,9205
2007/05/11,6451,9200
2007/05/14,6625,9150
2007/05/15,6675,9122
2007/05/16,6970,9200
2007/05/17,6853,9100
2007/05/18,6876,9150
2007/05/21,6950,9100
2007/05/22,7000,9201
2007/05/23,7222,9280
2007/05/24,7225,9350
2007/05/25,6940,9467
2007/05/28,6926,9498
2007/05/29,6906,9650
2007/05/30,6820,9484
2007/05/31,6749,9550
2007/06/01,6726,9705
2007/06/04,6604,9735
2007/06/05,6735,9900
2007/06/06,6745,10000
2007/06/07,6645,9900
2007/06/08,6451,9700
2007/06/11,6610,9838
2007/06/12,6450,9980
2007/06/13,6305,10109
2007/06/14,6500,10200
2007/06/15,6450,10850
2007/06/18,6540,10955
2007/06/19,6670,10720
2007/06/20,6595,10900
2007/06/21,6651,10900
2007/06/22,6640,10740
2007/06/25,6598,10600
2007/06/26,6400,10470
2007/06/27,6302,10400
2007/06/28,6250,10222
2007/06/29,6400,10335
2007/07/02,6601,10360
2007/07/03,6700,10415
2007/07/04,6885,10500
2007/07/05,7000,10675
2007/07/06,6975,10700
2007/07/09,7360,10850
2007/07/10,7060,10850
2007/07/11,7230,10850
2007/07/12,7500,10850
2007/07/13,7700,10900
2007/07/16,7850,10755
2007/07/17,7980,10800
2007/07/18,7901,10500
2007/07/19,7828,10700
2007/07/20,7553,10700
2007/07/23,7740,10700
2007/07/24,7525,10700
2007/07/25,7430,10850
2007/07/26,7425,10799
2007/07/27,7400,10500
2007/07/30,7510,10300
2007/07/31,7640,10250
2007/08/01,7400,9970
2007/08/02,7615,9982
2007/08/03,7500,9895
2007/08/06,7025,9790
2007/08/07,7250,9869
2007/08/08,7399,9900
2007/08/10,7000,9360
2007/08/13,6925,9370
2007/08/14,7054,9602
2007/08/15,6955,9605
2007/08/16,6715,9597
2007/08/17,6525,9599
2007/08/20,6789,9400
2007/08/21,6910,9300
2007/08/22,6935,9450
2007/08/23,6990,9600
2007/08/24,6925,9451
2007/08/27,7175,9580
2007/08/28,7345,9950
2007/08/29,7200,9950
2007/08/30,7370,10133
2007/08/31,7530,10200
2007/09/03,7901,10289
2007/09/04,8151,10250
2007/09/05,8015,10225
2007/09/06,8300,10410
2007/09/07,8350,10855
2007/09/10,8607,10900
2007/09/11,8950,11150
2007/09/12,8899,11530
2007/09/13,9101,11890
2007/09/14,8700,11820
2007/09/17,8375,11810
2007/09/18,8400,11800
2007/09/19,8490,11820
2007/09/20,8500,11860
2007/09/21,8225,11860
2007/09/25,8410,11767
2007/09/26,8490,11600
2007/09/27,8796,11650
2007/09/28,8986,11900
2007/10/01,8905,12120
2007/10/02,8800,12245
2007/10/03,9000,12250
2007/10/04,9000,12600
2007/10/05,9150,12850
2007/10/08,9256,12908
2007/10/09,9166,12905
2007/10/10,9699,12471
2007/10/11,9850,12800
2007/10/12,9680,12495
2007/10/15,9800,12500
2007/10/16,9800,12470
2007/10/17,9950,12410
2007/10/18,9950,12500
2007/10/19,10005,12688
2007/10/22,9993,12520
2007/10/23,10400,12509
2007/10/24,10250,12500
2007/10/25,10349,12615
2007/10/26,10475,13050
2007/10/29,10825,13149
2007/10/30,10400,13101
2007/10/31,9950,13101
2007/11/01,9352,13250
2007/11/02,10050,13265
2007/11/05,9525,13550
2007/11/06,9970,13867
2007/11/07,10200,13800
2007/11/08,10010,13700
2007/11/09,9900,13575
2007/11/12,9600,13550
2007/11/13,9400,13085
2007/11/14,9580,13490
2007/11/15,9361,12999
2007/11/16,9300,13000
2007/11/19,9100,12890
2007/11/20,9600,12999
2007/11/21,9460,13075
2007/11/22,9330,12904
2007/11/23,9350,12850
2007/11/26,9401,12700
2007/11/27,9325,12562
2007/11/28,9300,12501
2007/11/29,9100,12550
2007/11/30,9665,12550
2007/12/03,10100,12550
2007/12/04,10100,12800
2007/12/05,10100,13050
2007/12/06,10000,13250
2007/12/07,10200,13334
2007/12/10,10170,13816
2007/12/11,10300,13500
2007/12/12,10415,13400
2007/12/13,10315,12955
2007/12/14,9950,13140
2007/12/18,9700,12800
2007/12/19,9385,12600
2007/12/20,9550,13000
2007/12/21,9900,13000
2007/12/24,9925,13000
2007/12/27,10420,13151
2007/12/28,10325,13800
2007/12/31,10200,13802
2008/01/02,9900,13546
2008/01/03,10000,13600
2008/01/04,9665,13595
2008/01/07,9220,13000
2008/01/08,9200,12850
2008/01/09,9280,12900
2008/01/10,9271,12750
2008/01/11,8675,12135
2008/01/14,8455,11900
2008/01/15,8201,11513
2008/01/16,8350,11015
2008/01/17,9195,11415
2008/01/18,9085,11440
2008/01/21,8800,11200
2008/01/22,8899,11307
2008/01/23,8500,11400
2008/01/24,8500,11450
2008/01/25,8340,11398
2008/01/28,7860,11256
2008/01/29,7800,11400
2008/01/30,8151,12000
2008/01/31,8500,12100
2008/02/01,8872,12346
2008/02/04,9000,13000
2008/02/05,8650,12065
2008/02/06,8501,12206
2008/02/07,8400,12302
2008/02/08,8800,12560
2008/02/11,8440,12710
2008/02/12,8600,12800
2008/02/13,8500,12805
2008/02/14,8900,12953
2008/02/15,9340,13086
2008/02/18,9651,13700
2008/02/19,9600,13850
2008/02/20,9125,13500
2008/02/21,9200,13534
2008/02/22,9149,12600
2008/02/25,9300,13200
2008/02/26,9420,13300
2008/02/27,9400,13450
2008/02/28,9600,13551
2008/02/29,9850,13975
2008/03/03,9840,13470
2008/03/04,9549,13200
2008/03/05,9285,12989
2008/03/06,9300,13100
2008/03/07,9200,12900
2008/03/10,8810,13101
2008/03/11,8801,13993
2008/03/12,9050,14000
2008/03/13,9100,14098
2008/03/14,9180,13775
2008/03/17,8900,13100
2008/03/18,9180,13200
2008/03/19,9300,13410
2008/03/20,8900,13200
2008/03/25,9250,13305
2008/03/26,9100,13500
2008/03/27,9200,13536
2008/03/28,9400,13525
2008/03/31,9550,13100
2008/04/01,9550,13100
2008/04/02,9500,13201
2008/04/03,9633,13550
2008/04/04,9597,13420
2008/04/07,9600,13600
2008/04/08,9399,13750
2008/04/09,9550,13610
2008/04/10,9400,13434
2008/04/11,9450,13200
2008/04/14,9349,13200
2008/04/15,9100,13400
2008/04/16,8802,13100
2008/04/17,8900,12660
2008/04/18,9200,13000
2008/04/21,9200,13000
2008/04/22,9140,12900
2008/04/23,9350,12900
2008/04/24,9150,12800
2008/04/25,9000,12920
2008/04/29,8850,12700
2008/04/30,8850,12700
2008/05/05,9000,12549
2008/05/06,8855,12329
2008/05/07,8650,12992
2008/05/08,8850,12500
2008/05/09,8600,12100
2008/05/12,8395,11700
