Date,Coronation,Brait
2004/09/21,325,745
2004/09/22,320,750
2004/09/23,321,750
2004/09/27,326,750
2004/09/28,325,755
2004/09/29,345,755
2004/09/30,350,754
2004/10/01,350,760
2004/10/04,365,785
2004/10/05,370,765
2004/10/06,370,765
2004/10/07,370,769
2004/10/08,385,760
2004/10/11,370,750
2004/10/12,376,753
2004/10/13,375,780
2004/10/14,375,770
2004/10/15,384,770
2004/10/18,375,775
2004/10/19,385,780
2004/10/20,375,775
2004/10/21,370,800
2004/10/22,375,800
2004/10/25,375,795
2004/10/26,375,795
2004/10/27,375,800
2004/10/28,380,815
2004/10/29,390,830
2004/11/01,400,855
2004/11/02,400,855
2004/11/03,400,855
2004/11/04,405,870
2004/11/05,405,885
2004/11/08,410,900
2004/11/09,440,945
2004/11/10,445,940
2004/11/11,421,950
2004/11/12,422,970
2004/11/15,440,995
2004/11/16,440,995
2004/11/17,440,960
2004/11/18,440,960
2004/11/19,440,950
2004/11/22,440,950
2004/11/23,439,970
2004/11/24,439,970
2004/11/25,430,970
2004/11/26,415,965
2004/11/29,430,970
2004/11/30,435,960
2004/12/01,450,980
2004/12/02,435,970
2004/12/03,445,955
2004/12/06,418,930
2004/12/07,399,925
2004/12/08,410,930
2004/12/09,410,925
2004/12/10,385,925
2004/12/13,400,933
2004/12/14,390,933
2004/12/15,385,930
2004/12/17,390,930
2004/12/20,385,926
2004/12/21,380,926
2004/12/22,381,945
2004/12/23,382,950
2004/12/24,385,960
2004/12/28,392,960
2004/12/29,386,970
2004/12/30,395,960
2004/12/31,400,965
2005/01/03,400,975
2005/01/04,400,1000
2005/01/05,396,1000
2005/01/06,420,1019
2005/01/07,412,1019
2005/01/10,410,1014
2005/01/11,415,1015
2005/01/12,410,1040
2005/01/13,420,1051
2005/01/14,420,1075
2005/01/17,420,1130
2005/01/18,399,1100
2005/01/19,396,1115
2005/01/20,395,1130
2005/01/21,385,1100
2005/01/24,385,1100
2005/01/25,388,1130
2005/01/26,405,1115
2005/01/27,410,1120
2005/01/28,404,1115
2005/01/31,402,1133
2005/02/01,402,1140
2005/02/02,400,1160
2005/02/03,405,1160
2005/02/04,390,1200
2005/02/07,390,1190
2005/02/08,382,1189
2005/02/09,385,1180
2005/02/10,400,1165
2005/02/11,400,1175
2005/02/14,400,1176
2005/02/15,400,1200
2005/02/16,404,1195
2005/02/17,404,1150
2005/02/18,405,1162
2005/02/21,406,1170
2005/02/22,405,1200
2005/02/23,405,1201
2005/02/24,407,1229
2005/02/25,400,1229
2005/02/28,398,1222
2005/03/01,388,1225
2005/03/02,384,1228
2005/03/03,395,1230
2005/03/04,385,1235
2005/03/07,390,1230
2005/03/08,390,1200
2005/03/09,390,1200
2005/03/10,395,1200
2005/03/11,395,1200
2005/03/14,390,1230
2005/03/15,390,1220
2005/03/16,390,1225
2005/03/17,380,1240
2005/03/18,370,1238
2005/03/22,362,1192
2005/03/23,365,1215
2005/03/24,370,1210
2005/03/29,370,1200
2005/03/30,355,1180
2005/03/31,370,1170
2005/04/01,370,1248
2005/04/04,375,1235
2005/04/05,375,1300
2005/04/06,370,1300
2005/04/07,360,1320
2005/04/08,371,1310
2005/04/11,371,1310
2005/04/12,390,1280
2005/04/13,400,1280
2005/04/14,405,1300
2005/04/15,395,1290
2005/04/18,373,1250
2005/04/19,365,1275
2005/04/20,355,1270
2005/04/21,360,1212
2005/04/22,375,1240
2005/04/25,374,1240
2005/04/26,361,1235
2005/04/28,355,1190
2005/04/29,350,1220
2005/05/03,370,1240
2005/05/04,370,1235
