Date,SBK,First Rand
2004/11/09,5900,1270
2004/11/10,5770,1242
2004/11/11,5740,1240
2004/11/12,5700,1249
2004/11/15,5645,1249
2004/11/16,5720,1250
2004/11/17,5780,1266
2004/11/18,5810,1258
2004/11/19,5800,1240
2004/11/22,5700,1245
2004/11/23,5625,1230
2004/11/24,5690,1251
2004/11/25,5850,1300
2004/11/26,5975,1295
2004/11/29,6035,1320
2004/11/30,6200,1330
2004/12/01,6175,1340
2004/12/02,6000,1334
2004/12/03,5849,1325
2004/12/06,5880,1325
2004/12/07,5940,1309
2004/12/08,5900,1300
2004/12/09,5939,1290
2004/12/10,5964,1300
2004/12/13,6101,1325
2004/12/14,6165,1310
2004/12/15,6195,1320
2004/12/17,6205,1330
2004/12/20,6210,1340
2004/12/21,6210,1346
2004/12/22,6350,1357
2004/12/23,6384,1374
2004/12/24,6440,1350
2004/12/28,6650,1385
2004/12/29,6680,1377
2004/12/30,6589,1360
2004/12/31,6580,1335
2005/01/03,6580,1366
2005/01/04,6550,1395
2005/01/05,6296,1380
2005/01/06,6160,1320
2005/01/07,6140,1345
2005/01/10,6200,1342
2005/01/11,6175,1303
2005/01/12,6100,1325
2005/01/13,6040,1320
2005/01/14,5990,1313
2005/01/17,5980,1290
2005/01/18,5815,1260
2005/01/19,5910,1270
2005/01/20,5909,1263
2005/01/21,6000,1299
2005/01/24,6050,1300
2005/01/25,6170,1298
2005/01/26,6280,1310
2005/01/27,6530,1346
2005/01/28,6400,1345
2005/01/31,6481,1365
2005/02/01,6349,1352
2005/02/02,6125,1311
2005/02/03,6230,1330
2005/02/04,6295,1357
2005/02/07,6110,1315
2005/02/08,6170,1300
2005/02/09,6300,1330
2005/02/10,6450,1360
2005/02/11,6500,1359
2005/02/14,6360,1349
2005/02/15,6350,1363
2005/02/16,6345,1394
2005/02/17,6330,1395
2005/02/18,6300,1375
2005/02/21,6300,1370
2005/02/22,6490,1405
2005/02/23,6400,1399
2005/02/24,6375,1395
2005/02/25,6450,1410
2005/02/28,6427,1399
2005/03/01,6360,1385
2005/03/02,6330,1381
2005/03/03,6400,1395
2005/03/04,6558,1419
2005/03/07,6510,1405
2005/03/08,6580,1425
2005/03/09,6560,1430
2005/03/10,6460,1422
2005/03/11,6405,1400
2005/03/14,6450,1394
2005/03/15,6395,1380
2005/03/16,6185,1350
2005/03/17,6100,1315
2005/03/18,6279,1300
2005/03/22,6300,1326
2005/03/23,6200,1319
2005/03/24,6200,1318
2005/03/29,6080,1323
2005/03/30,6180,1320
2005/03/31,6288,1333
2005/04/01,6290,1373
2005/04/04,6200,1346
2005/04/05,6100,1318
2005/04/06,6240,1321
2005/04/07,6350,1318
2005/04/08,6335,1322
2005/04/11,6270,1304
2005/04/12,6170,1291
2005/04/13,6035,1285
2005/04/14,6193,1320
2005/04/15,6201,1315
2005/04/18,6160,1320
2005/04/19,6130,1325
2005/04/20,6035,1305
2005/04/21,6121,1324
2005/04/22,6150,1300
2005/04/25,6201,1305
2005/04/26,6380,1340
2005/04/28,6139,1300
2005/04/29,6073,1295
2005/05/03,6298,1316
2005/05/04,6310,1340
2005/05/05,6450,1361
