Date,Brait,SASFIN
2011/02/03,2320,4199
2011/02/04,2319,4198
2011/02/07,2298,4198
2011/02/08,2287,4180
2011/02/09,2300,4000
2011/02/10,2310,3910
2011/02/11,2315,3995
2011/02/14,2298,3990
2011/02/15,2282,3930
2011/02/16,2270,3930
2011/02/17,2243,3930
2011/02/18,2215,3931
2011/02/21,2200,3931
2011/02/22,2190,3930
2011/02/23,2150,3930
2011/02/24,2140,3880
2011/02/25,2150,3930
2011/02/28,2250,3900
2011/03/01,2200,3900
2011/03/02,2076,3860
2011/03/03,1870,3860
2011/03/04,1850,3800
2011/03/07,1799,3800
2011/03/08,1755,3750
2011/03/09,1875,3800
2011/03/10,1860,3800
2011/03/11,1900,3800
2011/03/14,1880,3840
2011/03/15,1820,3810
2011/03/16,1875,3750
2011/03/17,1880,3750
2011/03/18,1901,3750
2011/03/22,1910,3600
2011/03/23,1910,3379
2011/03/24,1900,3595
2011/03/25,1851,3499
2011/03/28,1870,3395
2011/03/29,1868,3500
2011/03/30,1875,3525
2011/03/31,1875,3500
2011/04/01,1890,3500
2011/04/04,1890,3480
2011/04/05,1861,3500
2011/04/06,1880,3590
2011/04/07,1880,3500
2011/04/08,1885,3450
2011/04/11,1885,3450
2011/04/12,1873,3450
2011/04/13,1882,3490
2011/04/14,1882,3490
2011/04/15,1880,3490
2011/04/18,1858,3490
2011/04/19,1849,3490
2011/04/20,1840,3450
2011/04/21,1870,3400
2011/04/26,1870,3400
2011/04/28,1870,3400
2011/04/29,1870,3400
2011/05/03,1869,3400
2011/05/04,1880,3350
2011/05/05,1865,3395
2011/05/06,1865,3355
2011/05/09,1856,3395
2011/05/10,1840,3400
2011/05/11,1840,3395
2011/05/12,1790,3400
2011/05/13,1689,3400
2011/05/16,1670,3440
2011/05/17,1660,3440
2011/05/19,1669,3450
2011/05/20,1649,3450
2011/05/23,1637,3450
2011/05/24,1646,3440
2011/05/25,1650,3400
2011/05/26,1655,3400
2011/05/27,1650,3400
2011/05/30,1654,3400
2011/05/31,1699,3400
2011/06/01,1653,3400
2011/06/02,1660,3350
2011/06/03,1660,3300
2011/06/06,1665,3350
2011/06/07,1667,3350
2011/06/08,1660,3400
2011/06/09,1684,3400
2011/06/10,1683,3400
2011/06/13,1680,3400
2011/06/14,1677,3365
2011/06/15,1673,3385
2011/06/17,1750,3376
2011/06/20,1680,3330
2011/06/21,1680,3360
2011/06/22,1670,3355
2011/06/23,1650,3355
2011/06/24,1670,3380
2011/06/27,1650,3380
2011/06/28,1659,3420
2011/06/29,1655,3400
