Date,Discovery,Sanlam
2006/08/28,2135,1503
2006/08/29,2120,1510
2006/08/30,2120,1543
2006/08/31,2240,1515
2006/09/01,2180,1550
2006/09/04,2203,1596
2006/09/05,2250,1575
2006/09/06,2300,1599
2006/09/07,2300,1561
2006/09/08,2270,1555
2006/09/11,2259,1535
2006/09/12,2265,1576
2006/09/13,2275,1599
2006/09/14,2275,1590
2006/09/15,2231,1560
2006/09/18,2300,1571
2006/09/19,2320,1611
2006/09/20,2275,1620
2006/09/21,2299,1655
2006/09/22,2300,1643
2006/09/26,2300,1711
2006/09/27,2300,1695
2006/09/28,2265,1705
2006/09/29,2230,1710
2006/10/02,2200,1679
2006/10/03,2230,1709
2006/10/04,2200,1710
2006/10/05,2206,1700
2006/10/06,2245,1695
2006/10/09,2246,1700
2006/10/10,2265,1695
2006/10/11,2285,1711
2006/10/12,2285,1700
2006/10/13,2315,1700
2006/10/16,2290,1770
2006/10/17,2290,1770
2006/10/18,2290,1735
2006/10/19,2315,1707
2006/10/20,2320,1700
2006/10/23,2325,1705
2006/10/24,2390,1741
2006/10/25,2360,1720
2006/10/26,2331,1710
2006/10/27,2350,1710
2006/10/30,2375,1710
2006/10/31,2380,1750
2006/11/01,2402,1770
2006/11/02,2400,1750
2006/11/03,2430,1740
2006/11/06,2450,1755
2006/11/07,2442,1768
2006/11/08,2450,1785
2006/11/09,2450,1788
2006/11/10,2440,1740
2006/11/13,2430,1742
2006/11/14,2420,1765
2006/11/15,2380,1771
2006/11/16,2350,1765
2006/11/17,2380,1750
2006/11/20,2380,1762
2006/11/21,2390,1780
2006/11/22,2421,1790
2006/11/23,2489,1800
2006/11/24,2475,1825
2006/11/27,2480,1815
2006/11/28,2480,1792
2006/11/29,2500,1800
2006/11/30,2499,1780
2006/12/01,2500,1793
2006/12/04,2500,1780
2006/12/05,2480,1750
2006/12/06,2495,1771
2006/12/07,2480,1737
2006/12/08,2483,1747
2006/12/11,2495,1745
2006/12/12,2485,1779
2006/12/13,2495,1800
2006/12/14,2530,1815
2006/12/15,2616,1840
2006/12/18,2630,1804
2006/12/19,2655,1800
2006/12/20,2720,1809
2006/12/21,2660,1830
2006/12/22,2685,1821
2006/12/27,2719,1860
2006/12/28,2690,1860
2006/12/29,2690,1830
2007/01/02,2739,1900
2007/01/03,2720,1899
