Date,Discovery,Liberty
2007/12/27,2725,7090
2007/12/28,2715,7157
2007/12/31,2713,7157
2008/01/02,2730,7007
2008/01/03,2700,6919
2008/01/04,2690,6903
2008/01/07,2635,6777
2008/01/08,2645,6650
2008/01/09,2640,6650
2008/01/10,2560,6554
2008/01/11,2560,6534
2008/01/14,2630,6504
2008/01/15,2530,6397
2008/01/16,2451,6207
2008/01/17,2400,6508
2008/01/18,2395,6507
2008/01/21,2360,5967
2008/01/22,2410,6017
2008/01/23,2360,6175
2008/01/24,2367,6143
2008/01/25,2400,6017
2008/01/28,2336,5731
2008/01/29,2352,5835
2008/01/30,2390,5796
2008/01/31,2380,5953
2008/02/01,2384,5827
2008/02/04,2470,5776
2008/02/05,2339,5716
2008/02/06,2300,5691
2008/02/07,2250,5464
2008/02/08,2276,5605
2008/02/11,2210,5447
2008/02/12,2210,5542
2008/02/13,2199,5700
2008/02/14,2278,5732
2008/02/15,2301,5763
2008/02/18,2440,5906
2008/02/19,2450,5953
2008/02/20,2360,5884
2008/02/21,2360,5890
2008/02/22,2323,5827
2008/02/25,2390,5922
2008/02/26,2575,6088
2008/02/27,2620,6080
2008/02/28,2700,6248
2008/02/29,2740,6215
2008/03/03,2755,6080
2008/03/04,2690,5776
2008/03/05,2620,5732
2008/03/06,2520,5803
2008/03/07,2400,6060
2008/03/10,2375,5985
2008/03/11,2365,6014
2008/03/12,2429,6156
2008/03/13,2405,6014
2008/03/14,2400,5827
2008/03/17,2300,5858
2008/03/18,2400,6016
2008/03/19,2390,6017
2008/03/20,2300,5953
2008/03/25,2395,5946
2008/03/26,2454,5922
2008/03/27,2460,5953
2008/03/28,2450,6017
2008/03/31,2430,6017
2008/04/01,2460,5953
2008/04/02,2520,6048
2008/04/03,2506,6017
2008/04/04,2590,6116
2008/04/07,2685,6071
2008/04/08,2650,6142
2008/04/09,2608,6175
2008/04/10,2520,6080
2008/04/11,2470,6112
2008/04/14,2499,5953
2008/04/15,2495,5922
2008/04/16,2520,5931
2008/04/17,2529,6017
2008/04/18,2500,6207
2008/04/21,2500,6254
2008/04/22,2481,6036
2008/04/23,2490,5985
2008/04/24,2501,5859
2008/04/25,2485,5852
2008/04/29,2480,5827
2008/04/30,2485,5827
2008/05/05,2450,5795
2008/05/06,2405,5858
2008/05/07,2390,5969
2008/05/08,2355,5939
2008/05/09,2365,5936
2008/05/12,2340,5922
2008/05/13,2300,5795
2008/05/14,2310,5700
2008/05/15,2380,5700
2008/05/16,2417,5700
2008/05/19,2351,5700
2008/05/20,2440,5700
2008/05/21,2420,5668
2008/05/22,2400,5700
2008/05/23,2405,5637
2008/05/26,2420,5637
2008/05/27,2450,5592
2008/05/28,2400,6745
2008/05/29,2390,6753
2008/05/30,2400,6745
2008/06/02,2444,6759
2008/06/03,2420,6755
2008/06/04,2400,6761
2008/06/05,2395,6793
2008/06/06,2385,6793
2008/06/09,2370,6780
2008/06/10,2365,6792
2008/06/11,2381,6785
2008/06/12,2360,6793
2008/06/13,2355,6793
2008/06/17,2305,6802
2008/06/18,2302,6802
2008/06/19,2296,6793
2008/06/20,2300,6793
2008/06/23,2169,6783
2008/06/24,2060,6777
2008/06/25,2070,6773
2008/06/26,2130,6891
2008/06/27,2190,6903
2008/06/30,2170,6903
2008/07/01,2048,6891
2008/07/02,2020,6891
2008/07/03,1955,6935
2008/07/04,1980,6896
2008/07/07,1940,6903
2008/07/08,1847,6935
2008/07/09,1870,6943
2008/07/10,1880,6967
2008/07/11,1814,6872
2008/07/14,1835,6872
2008/07/15,1825,6872
2008/07/16,1906,6872
2008/07/17,1985,6872
2008/07/18,2000,6302
2008/07/21,2060,6302
2008/07/22,2020,6650
2008/07/23,2000,6935
2008/07/24,2051,6650
2008/07/25,2025,6650
2008/07/28,2015,6808
2008/07/29,2025,6808
2008/07/30,2025,6808
2008/07/31,2160,6802
2008/08/01,2125,6809
2008/08/04,2125,6808
2008/08/05,2100,6808
2008/08/06,2135,6840
2008/08/07,2140,6840
2008/08/08,2150,6840
2008/08/11,2190,6840
2008/08/12,2250,6967
2008/08/13,2297,6967
2008/08/14,2227,6967
2008/08/15,2170,6967
2008/08/18,2130,6967
2008/08/19,2080,6333
2008/08/20,2090,6333
2008/08/21,2110,6333
2008/08/22,2150,6333
