Date,Discovery,MMI
2005/11/18,2200,1098
2005/11/21,2195,1092
2005/11/22,2199,1085
2005/11/23,2175,1080
2005/11/24,2156,1091
2005/11/25,2150,1070
2005/11/28,2150,1070
2005/11/29,2150,1053
2005/11/30,2150,1056
2005/12/01,2199,1069
2005/12/02,2170,1085
2005/12/05,2150,1060
2005/12/06,2175,1125
2005/12/07,2201,1150
2005/12/08,2230,1118
2005/12/09,2220,1103
2005/12/12,2244,1110
2005/12/13,2256,1100
2005/12/14,2205,1103
2005/12/15,2220,1145
2005/12/19,2250,1160
2005/12/20,2260,1180
2005/12/21,2281,1175
2005/12/22,2306,1200
2005/12/23,2325,1200
2005/12/27,2340,1200
2005/12/28,2350,1200
2005/12/29,2340,1190
2005/12/30,2340,1185
2006/01/03,2300,1180
2006/01/04,2285,1200
2006/01/05,2300,1180
2006/01/06,2341,1180
2006/01/09,2350,1184
2006/01/10,2345,1205
2006/01/11,2465,1265
2006/01/12,2480,1275
2006/01/13,2490,1270
2006/01/16,2490,1240
2006/01/17,2450,1226
2006/01/18,2400,1240
2006/01/19,2400,1292
2006/01/20,2400,1300
2006/01/23,2375,1285
2006/01/24,2400,1260
2006/01/25,2500,1289
2006/01/26,2558,1280
2006/01/27,2500,1290
2006/01/30,2500,1279
2006/01/31,2488,1290
2006/02/01,2562,1296
2006/02/02,2600,1293
2006/02/03,2551,1275
2006/02/06,2575,1300
2006/02/07,2573,1282
2006/02/08,2595,1295
2006/02/09,2600,1300
2006/02/10,2641,1305
2006/02/13,2615,1310
2006/02/14,2550,1290
2006/02/15,2530,1325
2006/02/16,2500,1350
2006/02/17,2485,1350
2006/02/20,2450,1340
2006/02/21,2500,1330
2006/02/22,2530,1350
2006/02/23,2600,1350
2006/02/24,2500,1335
2006/02/27,2495,1350
2006/02/28,2460,1333
2006/03/02,2490,1329
2006/03/03,2470,1320
2006/03/06,2470,1325
2006/03/07,2440,1290
2006/03/08,2440,1290
2006/03/09,2425,1294
2006/03/10,2400,1320
2006/03/13,2409,1350
2006/03/14,2360,1349
2006/03/15,2379,1425
2006/03/16,2350,1409
2006/03/17,2370,1410
2006/03/20,2334,1415
2006/03/22,2345,1415
2006/03/23,2340,1415
2006/03/24,2346,1405
2006/03/27,2360,1420
2006/03/28,2361,1390
2006/03/29,2446,1400
2006/03/30,2480,1415
2006/03/31,2451,1415
2006/04/03,2456,1290
2006/04/04,2400,1290
2006/04/05,2360,1285
2006/04/06,2370,1280
2006/04/07,2420,1290
2006/04/10,2440,1270
2006/04/11,2425,1245
2006/04/12,2400,1230
2006/04/13,2405,1249
2006/04/18,2405,1269
2006/04/19,2416,1270
2006/04/20,2380,1280
2006/04/21,2380,1287
2006/04/24,2380,1280
2006/04/25,2370,1280
2006/04/26,2371,1290
2006/04/28,2445,1305
2006/05/02,2440,1302
2006/05/03,2425,1325
2006/05/04,2400,1330
2006/05/05,2374,1330
2006/05/08,2400,1335
2006/05/09,2400,1350
2006/05/10,2410,1349
2006/05/11,2410,1331
2006/05/12,2400,1315
2006/05/15,2300,1270
2006/05/16,2275,1270
2006/05/17,2340,1271
2006/05/18,2265,1230
2006/05/19,2250,1240
2006/05/22,2202,1220
2006/05/23,2250,1220
2006/05/24,2245,1240
2006/05/25,2223,1230
2006/05/26,2200,1279
2006/05/29,2200,1299
2006/05/30,2180,1269
2006/05/31,2165,1255
2006/06/01,2140,1256
2006/06/02,2132,1290
2006/06/05,2098,1260
2006/06/06,2070,1210
2006/06/07,2025,1200
2006/06/08,1930,1150
2006/06/09,1949,1150
2006/06/12,1950,1120
2006/06/13,1890,1060
2006/06/14,1900,1080
2006/06/15,1950,1130
2006/06/19,2036,1146
2006/06/20,2076,1190
2006/06/21,2080,1186
2006/06/22,2050,1150
2006/06/23,2000,1100
2006/06/26,1945,1060
2006/06/27,1905,1080
2006/06/28,1940,1080
2006/06/29,2000,1100
2006/06/30,2010,1180
2006/07/03,2070,1176
2006/07/04,2100,1160
2006/07/05,2100,1141
2006/07/06,2100,1145
2006/07/07,2100,1145
2006/07/10,2100,1145
2006/07/11,2120,1160
2006/07/12,2150,1165
2006/07/13,2140,1170
2006/07/14,2125,1131
2006/07/17,2100,1110
2006/07/18,2081,1125
2006/07/19,2099,1135
2006/07/20,2149,1180
2006/07/21,2196,1175
2006/07/24,2200,1175
2006/07/25,2228,1160
2006/07/26,2265,1190
2006/07/27,2300,1210
2006/07/28,2300,1240
2006/07/31,2250,1190
2006/08/01,2200,1160
2006/08/02,2180,1170
2006/08/03,2180,1200
2006/08/04,2159,1200
2006/08/07,2120,1200
2006/08/08,2114,1165
2006/08/10,2116,1165
2006/08/11,2135,1170
2006/08/14,2160,1165
2006/08/15,2140,1156
2006/08/16,2200,1170
2006/08/17,2220,1186
2006/08/18,2200,1166
2006/08/21,2152,1191
2006/08/22,2150,1189
2006/08/23,2150,1190
2006/08/24,2140,1163
2006/08/25,2145,1160
2006/08/28,2135,1177
2006/08/29,2120,1201
2006/08/30,2120,1240
2006/08/31,2240,1207
2006/09/01,2180,1240
2006/09/04,2203,1240
2006/09/05,2250,1240
2006/09/06,2300,1230
2006/09/07,2300,1220
2006/09/08,2270,1292
2006/09/11,2259,1250
2006/09/12,2265,1254
2006/09/13,2275,1280
2006/09/14,2275,1241
2006/09/15,2231,1240
2006/09/18,2300,1242
2006/09/19,2320,1245
2006/09/20,2275,1248
2006/09/21,2299,1245
2006/09/22,2300,1235
2006/09/26,2300,1235
2006/09/27,2300,1239
2006/09/28,2265,1235
2006/09/29,2230,1225
2006/10/02,2200,1210
2006/10/03,2230,1200
2006/10/04,2200,1209
2006/10/05,2206,1210
2006/10/06,2245,1205
2006/10/09,2246,1211
2006/10/10,2265,1216
2006/10/11,2285,1230
2006/10/12,2285,1264
2006/10/13,2315,1265
2006/10/16,2290,1305
2006/10/17,2290,1300
2006/10/18,2290,1310
2006/10/19,2315,1305
2006/10/20,2320,1300
2006/10/23,2325,1290
2006/10/24,2390,1300
2006/10/25,2360,1300
2006/10/26,2331,1270
2006/10/27,2350,1280
2006/10/30,2375,1260
2006/10/31,2380,1285
2006/11/01,2402,1330
2006/11/02,2400,1340
2006/11/03,2430,1335
2006/11/06,2450,1346
2006/11/07,2442,1340
2006/11/08,2450,1349
2006/11/09,2450,1370
2006/11/10,2440,1380
2006/11/13,2430,1365
2006/11/14,2420,1405
2006/11/15,2380,1400
2006/11/16,2350,1420
2006/11/17,2380,1400
2006/11/20,2380,1420
2006/11/21,2390,1435
2006/11/22,2421,1425
2006/11/23,2489,1420
2006/11/24,2475,1429
2006/11/27,2480,1420
2006/11/28,2480,1410
2006/11/29,2500,1400
2006/11/30,2499,1375
2006/12/01,2500,1411
2006/12/04,2500,1420
2006/12/05,2480,1424
2006/12/06,2495,1420
2006/12/07,2480,1415
2006/12/08,2483,1420
2006/12/11,2495,1395
2006/12/12,2485,1410
2006/12/13,2495,1421
2006/12/14,2530,1440
2006/12/15,2616,1452
2006/12/18,2630,1441
2006/12/19,2655,1451
2006/12/20,2720,1463
2006/12/21,2660,1460
2006/12/22,2685,1508
2006/12/27,2719,1508
2006/12/28,2690,1540
2006/12/29,2690,1500
2007/01/02,2739,1525
2007/01/03,2720,1505
2007/01/04,2730,1540
2007/01/05,2719,1500
2007/01/09,2770,1505
2007/01/10,2846,1495
2007/01/11,2855,1500
2007/01/12,2880,1520
2007/01/15,2965,1518
2007/01/16,3041,1510
2007/01/17,3075,1540
2007/01/18,3150,1580
2007/01/19,3051,1540
2007/01/22,3060,1553
2007/01/23,3010,1552
2007/01/24,3000,1564
2007/01/25,2975,1576
2007/01/26,2960,1560
2007/01/29,3000,1540
2007/01/30,2999,1535
2007/01/31,3000,1519
2007/02/01,2851,1544
2007/02/02,2950,1543
2007/02/05,2971,1490
2007/02/06,2930,1475
2007/02/07,2892,1510
2007/02/08,2830,1505
2007/02/09,2830,1520
2007/02/12,2830,1535
2007/02/13,2915,1525
2007/02/14,2975,1530
2007/02/15,2970,1525
2007/02/16,2945,1510
2007/02/19,2934,1525
2007/02/20,2901,1550
2007/02/21,2901,1550
2007/02/22,3019,1559
2007/02/23,3119,1559
2007/02/26,3099,1550
2007/02/27,2990,1541
2007/02/28,2939,1520
2007/03/01,2895,1500
2007/03/02,2940,1500
2007/03/05,2831,1475
2007/03/06,2897,1470
2007/03/07,2900,1499
2007/03/08,2890,1506
2007/03/09,2999,1520
2007/03/12,2979,1550
2007/03/13,2910,1550
2007/03/14,2860,1556
2007/03/15,2901,1589
2007/03/16,2903,1602
2007/03/19,2905,1627
2007/03/20,2920,1600
2007/03/22,2919,1605
2007/03/23,2900,1611
2007/03/26,2900,1615
2007/03/27,2870,1615
2007/03/28,2856,1610
2007/03/29,2865,1631
2007/03/30,2880,1485
2007/04/02,2900,1485
2007/04/03,2980,1480
2007/04/04,2995,1500
2007/04/05,2980,1500
2007/04/10,3094,1515
2007/04/11,3007,1503
2007/04/12,3011,1530
2007/04/13,3020,1540
2007/04/16,3090,1525
2007/04/17,3090,1525
2007/04/18,3110,1531
2007/04/19,3200,1520
2007/04/20,3259,1560
2007/04/23,3230,1560
2007/04/24,3200,1570
2007/04/25,3200,1607
2007/04/26,3210,1621
2007/04/30,3270,1680
2007/05/02,3290,1655
2007/05/03,3315,1630
2007/05/04,3212,1635
2007/05/07,3225,1636
2007/05/08,3210,1630
2007/05/09,3210,1640
2007/05/10,3250,1655
2007/05/11,3220,1660
2007/05/14,3205,1680
2007/05/15,3220,1670
2007/05/16,3210,1640
2007/05/17,3210,1624
2007/05/18,3220,1638
2007/05/21,3220,1660
2007/05/22,3220,1640
2007/05/23,3200,1640
2007/05/24,3220,1640
