Date,M&R,AVENGE
2006/06/29,2410,2100
2006/06/30,2540,2145
2006/07/03,2650,2275
2006/07/04,2585,2260
2006/07/05,2561,2230
2006/07/06,2592,2225
2006/07/07,2615,2225
2006/07/10,2601,2220
2006/07/11,2666,2240
2006/07/12,2702,2270
2006/07/13,2666,2202
2006/07/14,2574,2190
2006/07/17,2521,2104
2006/07/18,2540,2100
2006/07/19,2580,2180
2006/07/20,2600,2240
2006/07/21,2600,2260
2006/07/24,2686,2259
2006/07/25,2655,2230
2006/07/26,2640,2220
2006/07/27,2600,2248
2006/07/28,2550,2195
2006/07/31,2521,2160
2006/08/01,2536,2200
2006/08/02,2550,2190
2006/08/03,2600,2185
2006/08/04,2641,2195
2006/08/07,2660,2195
2006/08/08,2775,2280
2006/08/10,2915,2360
2006/08/11,3021,2425
2006/08/14,2975,2490
2006/08/15,2980,2480
2006/08/16,3045,2518
2006/08/17,3130,2500
2006/08/18,3050,2449
2006/08/21,3000,2440
2006/08/22,2990,2435
2006/08/23,2944,2444
2006/08/24,2920,2498
2006/08/25,3000,2600
2006/08/28,3015,2600
2006/08/29,3046,2585
2006/08/30,3030,2630
2006/08/31,2915,2670
2006/09/01,3007,2585
2006/09/04,3040,2580
2006/09/05,3100,2601
2006/09/06,3200,2610
2006/09/07,3100,2589
2006/09/08,3120,2600
2006/09/11,3076,2600
2006/09/12,3180,2630
2006/09/13,3240,2725
2006/09/14,3210,2750
2006/09/15,3251,2760
2006/09/18,3300,2777
2006/09/19,3320,2860
2006/09/20,3325,2840
2006/09/21,3260,2840
2006/09/22,3261,2840
2006/09/26,3230,2785
2006/09/27,3200,2785
2006/09/28,3200,2760
2006/09/29,3200,2750
2006/10/02,3204,2700
2006/10/03,3200,2702
2006/10/04,3200,2754
2006/10/05,3255,2806
2006/10/06,3301,2800
2006/10/09,3326,2760
2006/10/10,3365,2829
2006/10/11,3380,2848
2006/10/12,3501,2870
2006/10/13,3510,2885
2006/10/16,3594,2870
2006/10/17,3500,2860
2006/10/18,3450,2802
2006/10/19,3370,2780
2006/10/20,3350,2789
2006/10/23,3325,2795
2006/10/24,3440,2888
2006/10/25,3650,3030
2006/10/26,3880,3084
2006/10/27,3800,3140
2006/10/30,3725,3125
2006/10/31,3805,3120
2006/11/01,3945,3150
2006/11/02,3880,3130
2006/11/03,3880,3200
2006/11/06,3861,3175
2006/11/07,3859,3200
2006/11/08,3810,3320
2006/11/09,3720,3127
2006/11/10,3720,3181
2006/11/13,3735,3144
2006/11/14,3775,3250
2006/11/15,3791,3225
