Date,Group5,AVENGE
2006/06/30,2875,2145
2006/07/03,2839,2275
2006/07/04,2900,2260
2006/07/05,2901,2230
2006/07/06,2915,2225
2006/07/07,2900,2225
2006/07/10,2900,2220
2006/07/11,2924,2240
2006/07/12,3000,2270
2006/07/13,2960,2202
2006/07/14,2950,2190
2006/07/17,2726,2104
2006/07/18,2815,2100
2006/07/19,2900,2180
2006/07/20,2950,2240
2006/07/21,2850,2260
2006/07/24,2900,2259
2006/07/25,2910,2230
2006/07/26,2915,2220
2006/07/27,2914,2248
2006/07/28,2900,2195
2006/07/31,2950,2160
2006/08/01,2900,2200
2006/08/02,2900,2190
2006/08/03,2869,2185
2006/08/04,2900,2195
2006/08/07,2910,2195
2006/08/08,2935,2280
2006/08/10,3050,2360
2006/08/11,3175,2425
2006/08/14,3180,2490
2006/08/15,3180,2480
2006/08/16,3170,2518
2006/08/17,3180,2500
2006/08/18,3210,2449
2006/08/21,3205,2440
2006/08/22,3200,2435
2006/08/23,3199,2444
2006/08/24,3101,2498
2006/08/25,3100,2600
2006/08/28,3120,2600
2006/08/29,3115,2585
2006/08/30,3100,2630
2006/08/31,3115,2670
2006/09/01,3115,2585
2006/09/04,3050,2580
2006/09/05,3120,2601
2006/09/06,3109,2610
2006/09/07,3100,2589
2006/09/08,3090,2600
2006/09/11,3030,2600
2006/09/12,3070,2630
2006/09/13,3150,2725
2006/09/14,3315,2750
2006/09/15,3325,2760
2006/09/18,3425,2777
2006/09/19,3430,2860
2006/09/20,3425,2840
2006/09/21,3450,2840
2006/09/22,3400,2840
2006/09/26,3550,2785
2006/09/27,3509,2785
2006/09/28,3500,2760
2006/09/29,3500,2750
2006/10/02,3505,2700
2006/10/03,3512,2702
2006/10/04,3520,2754
2006/10/05,3650,2806
2006/10/06,3680,2800
2006/10/09,3660,2760
2006/10/10,3650,2829
2006/10/11,3640,2848
2006/10/12,3650,2870
2006/10/13,3700,2885
2006/10/16,3690,2870
2006/10/17,3620,2860
2006/10/18,3583,2802
2006/10/19,3500,2780
2006/10/20,3530,2789
2006/10/23,3650,2795
2006/10/24,3685,2888
2006/10/25,3725,3030
2006/10/26,3785,3084
2006/10/27,3900,3140
2006/10/30,3798,3125
2006/10/31,3777,3120
2006/11/01,3900,3150
2006/11/02,3960,3130
2006/11/03,4100,3200
2006/11/06,4090,3175
2006/11/07,4080,3200
2006/11/08,4100,3320
2006/11/09,4050,3127
2006/11/10,4000,3181
2006/11/13,3950,3144
2006/11/14,4095,3250
2006/11/15,4050,3225
2006/11/16,4100,3225
2006/11/17,4100,3215
2006/11/20,4125,3235
2006/11/21,4200,3349
2006/11/22,4225,3289
2006/11/23,4234,3266
2006/11/24,4150,3299
2006/11/27,4093,3250
2006/11/28,4085,3220
2006/11/29,4050,3240
2006/11/30,4050,3275
2006/12/01,4220,3450
2006/12/04,4200,3400
2006/12/05,4200,3400
2006/12/06,4190,3463
2006/12/07,4104,3435
2006/12/08,4110,3435
2006/12/11,4100,3359
2006/12/12,4110,3325
2006/12/13,4110,3250
2006/12/14,4200,3231
2006/12/15,4261,3190
2006/12/18,4300,3235
2006/12/19,4280,3235
2006/12/20,4300,3235
2006/12/21,4331,3235
2006/12/22,4357,3270
2006/12/27,4434,3320
2006/12/28,4485,3360
2006/12/29,4550,3360
2007/01/02,4550,3339
2007/01/03,4440,3300
2007/01/04,4300,3290
2007/01/05,4380,3270
2007/01/09,4385,3250
2007/01/10,4390,3250
2007/01/11,4350,3280
2007/01/12,4465,3295
2007/01/15,4580,3290
2007/01/16,4600,3335
2007/01/17,4875,3580
2007/01/18,4980,3671
2007/01/19,4900,3540
2007/01/22,4890,3650
2007/01/23,4925,3799
2007/01/24,4975,3881
2007/01/25,4949,3990
2007/01/26,4940,3996
2007/01/29,4900,3960
2007/01/30,4845,3869
2007/01/31,4920,3865
2007/02/01,4850,3780
2007/02/02,4890,3800
2007/02/05,4850,3680
2007/02/06,4870,3600
2007/02/07,4830,3619
2007/02/08,4780,3639
2007/02/09,4750,3700
2007/02/12,4825,3660
2007/02/13,4840,3685
2007/02/14,4975,3760
2007/02/15,5000,3861
2007/02/16,4899,3940
2007/02/19,4988,4030
2007/02/20,5000,4028
2007/02/21,5090,4080
2007/02/22,5500,4100
2007/02/23,5325,4103
2007/02/26,5300,4140
2007/02/27,5180,4025
2007/02/28,5100,3950
2007/03/01,5070,3870
2007/03/02,5000,3780
2007/03/05,4798,3695
2007/03/06,4901,3924
2007/03/07,5000,4030
2007/03/08,5102,4100
2007/03/09,5175,4111
2007/03/12,5164,4221
2007/03/13,5151,4230
2007/03/14,4980,4180
2007/03/15,4970,4272
2007/03/16,5000,4500
2007/03/19,5150,4420
2007/03/20,5300,4500
2007/03/22,5500,4410
2007/03/23,5700,4500
2007/03/26,5680,4490
2007/03/27,5599,4440
2007/03/28,5570,4430
2007/03/29,5670,4500
2007/03/30,5660,4600
2007/04/02,5740,4570
2007/04/03,5700,4480
2007/04/04,5595,4489
2007/04/05,5631,4500
2007/04/10,5680,4500
2007/04/11,5675,4500
2007/04/12,5650,4498
2007/04/13,5588,4591
2007/04/16,5580,4700
2007/04/17,5599,4770
2007/04/18,5599,4750
2007/04/19,5590,4800
2007/04/20,5575,4800
2007/04/23,5465,4870
2007/04/24,5310,4860
2007/04/25,5240,4840
2007/04/26,5270,4800
2007/04/30,5245,4825
2007/05/02,5244,4775
2007/05/03,5170,4740
2007/05/04,5400,4699
2007/05/07,5469,4689
2007/05/08,5300,4650
2007/05/09,5380,4650
2007/05/10,5425,4680
2007/05/11,5449,4700
2007/05/14,5470,4706
2007/05/15,5400,4701
2007/05/16,5545,4835
2007/05/17,5425,4872
2007/05/18,5600,4920
2007/05/21,5740,5050
2007/05/22,5749,5160
2007/05/23,5820,5325
2007/05/24,5950,5348
2007/05/25,5870,5200
2007/05/28,5800,5110
2007/05/29,5800,5150
2007/05/30,5740,5015
2007/05/31,5800,4999
2007/06/01,5950,5010
2007/06/04,5900,4950
2007/06/05,5719,4945
2007/06/06,5675,5063
2007/06/07,5730,4975
2007/06/08,5500,4870
2007/06/11,5675,4953
2007/06/12,5650,4991
2007/06/13,5789,4930
2007/06/14,5701,5000
2007/06/15,5845,4835
2007/06/18,5750,4922
2007/06/19,5700,5000
2007/06/20,5700,4960
2007/06/21,5555,5010
2007/06/22,5485,4990
2007/06/25,5310,4925
2007/06/26,5440,4920
2007/06/27,5300,4880
2007/06/28,5315,4850
2007/06/29,5440,4995
2007/07/02,5501,5150
2007/07/03,5625,5170
2007/07/04,5750,5124
2007/07/05,5925,5170
2007/07/06,5990,5225
2007/07/09,6161,5500
2007/07/10,6150,5429
2007/07/11,6160,5374
2007/07/12,6275,5396
2007/07/13,6398,5550
2007/07/16,6355,5580
2007/07/17,6430,5560
2007/07/18,6465,5600
2007/07/19,6610,5665
2007/07/20,6550,5680
2007/07/23,6539,5690
2007/07/24,6300,5550
2007/07/25,6299,5490
2007/07/26,6200,5345
2007/07/27,6010,5200
2007/07/30,6100,5200
2007/07/31,6400,5372
2007/08/01,6250,5199
2007/08/02,6180,5199
2007/08/03,6200,5214
2007/08/06,5890,4995
2007/08/07,5850,5000
2007/08/08,5845,5035
2007/08/10,5690,4900
2007/08/13,5700,4870
2007/08/14,5808,4900
2007/08/15,5720,4790
2007/08/16,5420,4567
2007/08/17,5400,4575
2007/08/20,5525,4700
2007/08/21,5475,4815
2007/08/22,5500,4900
2007/08/23,5548,5075
2007/08/24,5449,5000
2007/08/27,5419,5075
2007/08/28,5390,5129
2007/08/29,5330,5055
2007/08/30,5390,5175
2007/08/31,5539,5290
2007/09/03,5690,5300
2007/09/04,5640,5350
2007/09/05,5565,5301
2007/09/06,5498,5300
2007/09/07,5300,5100
2007/09/10,5285,5011
2007/09/11,5500,5420
2007/09/12,5590,5550
2007/09/13,5549,5802
2007/09/14,5389,5700
2007/09/17,5200,5514
2007/09/18,5400,5600
2007/09/19,5550,5520
2007/09/20,5370,5470
2007/09/21,5300,5400
2007/09/25,5295,5500
2007/09/26,5330,5625
2007/09/27,5500,5600
2007/09/28,5540,5500
2007/10/01,5530,5420
2007/10/02,5649,5400
2007/10/03,5825,5490
2007/10/04,5915,5530
2007/10/05,5905,5733
2007/10/08,6077,5860
2007/10/09,6120,5901
2007/10/10,6000,6120
2007/10/11,6170,6325
2007/10/12,6101,6300
2007/10/15,6215,6200
2007/10/16,6251,6180
2007/10/17,6290,6200
2007/10/18,6420,6069
2007/10/19,6451,6140
2007/10/22,6403,6050
2007/10/23,6600,6170
2007/10/24,6635,6250
2007/10/25,6855,6499
2007/10/26,6900,6650
2007/10/29,6830,6800
2007/10/30,6600,6645
2007/10/31,6450,6410
2007/11/01,6330,6200
2007/11/02,6350,6200
2007/11/05,6320,6071
2007/11/06,6520,6280
2007/11/07,6560,6438
2007/11/08,6475,6449
2007/11/09,6365,6500
2007/11/12,6180,6520
2007/11/13,6070,6390
2007/11/14,6325,6500
2007/11/15,6200,6301
2007/11/16,6240,6405
2007/11/19,6000,6355
2007/11/20,5895,6300
2007/11/21,5950,6100
2007/11/22,6050,6070
2007/11/23,5999,6076
2007/11/26,5850,6080
2007/11/27,5656,5930
2007/11/28,5650,5768
2007/11/29,5679,5673
2007/11/30,5650,5800
2007/12/03,5650,5900
2007/12/04,5790,6100
2007/12/05,5820,6301
2007/12/06,5800,6250
2007/12/07,5780,6100
2007/12/10,5740,6300
2007/12/11,5700,6450
2007/12/12,5750,6550
2007/12/13,5725,6350
2007/12/14,5690,6143
2007/12/18,5400,6060
2007/12/19,5190,6000
2007/12/20,5400,6155
2007/12/21,5500,6075
2007/12/24,5650,6200
2007/12/27,5650,6249
2007/12/28,5500,6175
2007/12/31,5500,6085
2008/01/02,5550,6120
2008/01/03,5480,6125
2008/01/04,5450,6000
2008/01/07,5316,5855
2008/01/08,5450,5945
2008/01/09,5300,5795
2008/01/10,5310,5535
2008/01/11,5101,5280
2008/01/14,4990,5290
2008/01/15,4959,5125
2008/01/16,4800,5150
2008/01/17,4925,5380
2008/01/18,4840,5275
2008/01/21,4700,5115
2008/01/22,4799,5100
2008/01/23,4700,5000
2008/01/24,4848,5150
2008/01/25,4752,4944
2008/01/28,4520,4770
2008/01/29,4505,5010
2008/01/30,4450,5090
2008/01/31,4549,5200
2008/02/01,4600,5300
2008/02/04,4600,5538
2008/02/05,4463,5250
2008/02/06,4601,5460
2008/02/07,4600,5310
2008/02/08,4558,5245
2008/02/11,4469,5190
2008/02/12,4500,5201
2008/02/13,4350,5350
2008/02/14,4500,5550
2008/02/15,4750,5675
2008/02/18,4930,5800
2008/02/19,5125,6100
2008/02/20,5150,5780
2008/02/21,5225,5700
2008/02/22,5150,5640
2008/02/25,5170,5774
2008/02/26,5237,5840
2008/02/27,5230,5700
2008/02/28,5435,5991
2008/02/29,5400,6200
2008/03/03,5390,6050
2008/03/04,5303,5800
2008/03/05,5150,5600
2008/03/06,5080,5593
2008/03/07,5000,5350
2008/03/10,4995,5200
2008/03/11,5106,5250
2008/03/12,5280,5400
2008/03/13,5230,5430
2008/03/14,5231,5650
2008/03/17,4899,5400
2008/03/18,5100,5600
2008/03/19,5250,5500
2008/03/20,5107,5415
2008/03/25,5100,5650
2008/03/26,5150,5998
2008/03/27,5200,5950
2008/03/28,5250,6014
2008/03/31,5175,5800
2008/04/01,5179,6000
2008/04/02,5450,6150
2008/04/03,5500,6150
2008/04/04,5400,5900
2008/04/07,5465,5987
2008/04/08,5380,5750
2008/04/09,5500,5800
2008/04/10,5425,5830
2008/04/11,5400,5850
2008/04/14,5400,5770
2008/04/15,5390,5726
2008/04/16,5225,5425
2008/04/17,5202,5705
2008/04/18,5230,5890
2008/04/21,5260,6125
2008/04/22,5250,5990
2008/04/23,5300,6080
2008/04/24,5200,5900
2008/04/25,5220,5900
2008/04/29,5199,5780
2008/04/30,5030,5705
2008/05/05,4999,5700
2008/05/06,5005,5725
2008/05/07,5000,5700
2008/05/08,4926,5750
2008/05/09,4950,5740
2008/05/12,4800,5700
2008/05/13,4790,5700
2008/05/14,4840,5775
2008/05/15,4905,5899
2008/05/16,5000,5945
2008/05/19,5316,6300
2008/05/20,5375,6450
2008/05/21,5260,6400
2008/05/22,5230,6401
2008/05/23,5200,6450
2008/05/26,5185,6460
2008/05/27,5200,6760
2008/05/28,5200,6830
2008/05/29,5210,6575
2008/05/30,5264,6525
2008/06/02,5200,6410
2008/06/03,5040,6346
2008/06/04,4900,6300
2008/06/05,5080,6490
2008/06/06,5045,6351
2008/06/09,5000,6440
2008/06/10,4845,6290
2008/06/11,4851,6199
2008/06/12,5005,6325
2008/06/13,4801,6416
2008/06/17,4701,6099
2008/06/18,4650,6090
2008/06/19,4800,5990
2008/06/20,4670,5857
2008/06/23,4595,5765
2008/06/24,4400,5638
2008/06/25,4400,5700
2008/06/26,4399,5960
2008/06/27,4406,5654
2008/06/30,4490,5800
2008/07/01,4485,5700
2008/07/02,4500,5800
2008/07/03,4200,5668
2008/07/04,4160,5365
2008/07/07,4220,5225
2008/07/08,4160,5200
2008/07/09,3930,5200
2008/07/10,3980,5480
2008/07/11,4130,5500
2008/07/14,3950,5300
2008/07/15,3789,5000
2008/07/16,3870,5176
2008/07/17,4265,5900
2008/07/18,4245,5800
2008/07/21,4280,5615
2008/07/22,4252,5500
2008/07/23,4261,5500
2008/07/24,4375,5698
2008/07/25,4350,5625
2008/07/28,4400,5700
2008/07/29,4350,5705
2008/07/30,4415,5960
2008/07/31,4460,6200
2008/08/01,4375,5900
2008/08/04,4365,5857
2008/08/05,4400,5850
2008/08/06,4420,5770
2008/08/07,4270,5500
2008/08/08,4310,5700
2008/08/11,4620,5850
2008/08/12,4998,5750
2008/08/13,5060,5900
2008/08/14,5130,6350
2008/08/15,5205,6230
2008/08/18,5240,6100
2008/08/19,5150,5920
2008/08/20,5201,6125
2008/08/21,5200,6695
2008/08/22,5300,6700
2008/08/25,5345,6460
2008/08/26,5300,6495
2008/08/27,5521,6680
2008/08/28,5825,6934
2008/08/29,5600,6620
2008/09/01,5600,6859
2008/09/02,5600,6950
2008/09/03,5805,6930
2008/09/04,5760,6845
2008/09/05,5575,6501
2008/09/08,5640,6900
2008/09/09,5770,6992
