Date,PSG,Brait
2005/02/01,670,1140
2005/02/02,675,1160
2005/02/03,692,1160
2005/02/04,699,1200
2005/02/07,700,1190
2005/02/08,696,1189
2005/02/09,675,1180
2005/02/10,685,1165
2005/02/11,680,1175
2005/02/14,675,1176
2005/02/15,675,1200
2005/02/16,680,1195
2005/02/17,680,1150
2005/02/18,680,1162
2005/02/21,685,1170
2005/02/22,695,1200
2005/02/23,700,1201
2005/02/24,700,1229
2005/02/25,700,1229
2005/02/28,700,1222
2005/03/01,685,1225
2005/03/02,670,1228
2005/03/03,670,1230
2005/03/04,686,1235
2005/03/07,700,1230
2005/03/08,700,1200
2005/03/09,700,1200
2005/03/10,690,1200
2005/03/11,690,1200
2005/03/14,695,1230
2005/03/15,690,1220
2005/03/16,695,1225
2005/03/17,685,1240
2005/03/18,690,1238
2005/03/22,660,1192
2005/03/23,640,1215
2005/03/24,630,1210
2005/03/29,640,1200
2005/03/30,620,1180
2005/03/31,655,1170
2005/04/01,650,1248
2005/04/04,675,1235
2005/04/05,680,1300
2005/04/06,690,1300
2005/04/07,685,1320
2005/04/08,680,1310
2005/04/11,685,1310
2005/04/12,685,1280
2005/04/13,660,1280
2005/04/14,660,1300
2005/04/15,665,1290
2005/04/18,660,1250
2005/04/19,665,1275
2005/04/20,660,1270
2005/04/21,660,1212
2005/04/22,660,1240
2005/04/25,650,1240
2005/04/26,650,1235
2005/04/28,670,1190
2005/04/29,673,1220
2005/05/03,670,1240
2005/05/04,681,1235
2005/05/05,690,1250
2005/05/06,700,1240
2005/05/09,695,1250
2005/05/10,715,1265
2005/05/11,745,1310
2005/05/12,750,1300
2005/05/13,750,1270
2005/05/16,750,1290
2005/05/17,725,1299
2005/05/18,735,1300
2005/05/19,750,1310
2005/05/20,773,1300
2005/05/23,760,1310
2005/05/24,780,1312
2005/05/25,809,1312
2005/05/26,829,1315
2005/05/27,845,1420
2005/05/30,820,1400
2005/05/31,800,1372
2005/06/01,780,1359
2005/06/02,804,1375
2005/06/03,800,1400
2005/06/06,790,1390
2005/06/07,790,1350
2005/06/08,790,1360
2005/06/09,795,1320
2005/06/10,805,1307
2005/06/13,812,1325
2005/06/14,810,1330
2005/06/15,810,1330
2005/06/17,820,1350
2005/06/20,822,1340
2005/06/21,830,1345
2005/06/22,835,1345
2005/06/23,835,1345
2005/06/24,835,1320
2005/06/27,830,1320
2005/06/28,830,1325
2005/06/29,847,1330
2005/06/30,845,1350
2005/07/01,820,1320
2005/07/04,800,1310
2005/07/05,800,1300
2005/07/06,800,1320
2005/07/07,805,1330
2005/07/08,800,1345
2005/07/11,802,1355
2005/07/12,811,1375
2005/07/13,850,1405
2005/07/14,845,1420
2005/07/15,840,1440
2005/07/18,855,1448
2005/07/19,875,1465
2005/07/20,880,1490
2005/07/21,860,1510
2005/07/22,865,1515
2005/07/25,860,1521
2005/07/26,822,1550
2005/07/27,860,1570
2005/07/28,847,1560
2005/07/29,870,1583
2005/08/01,875,1610
2005/08/02,895,1700
2005/08/03,885,1649
2005/08/04,900,1700
2005/08/05,900,1699
2005/08/08,920,1730
2005/08/10,980,1750
2005/08/11,980,1759
2005/08/12,945,1801
2005/08/15,945,1830
2005/08/16,944,1828
2005/08/17,940,1790
2005/08/18,910,1800
2005/08/19,920,1800
2005/08/22,940,1840
2005/08/23,951,1850
2005/08/24,910,1840
2005/08/25,905,1830
2005/08/26,916,1812
2005/08/29,910,1790
2005/08/30,910,1750
2005/08/31,925,1780
2005/09/01,954,1799
2005/09/02,1030,1825
2005/09/05,1035,1790
2005/09/06,1060,1824
2005/09/07,1065,1825
2005/09/08,1050,1810
2005/09/09,1070,1820
2005/09/12,1075,1820
2005/09/13,1070,1870
2005/09/14,1060,1860
2005/09/15,1065,1875
2005/09/16,1065,1880
2005/09/19,1080,1870
2005/09/20,1091,1840
2005/09/21,1150,1840
2005/09/22,1160,1806
2005/09/23,1200,1760
2005/09/26,1250,1765
2005/09/27,1230,1750
2005/09/28,1230,1775
2005/09/29,1235,1780
2005/09/30,1230,1840
2005/10/03,1240,1875
2005/10/04,1260,1941
2005/10/05,1265,1935
2005/10/06,1255,1880
2005/10/07,1216,1900
2005/10/10,1229,1870
2005/10/11,1195,1865
2005/10/12,1126,1830
2005/10/13,1076,1779
2005/10/14,1021,1750
2005/10/17,1059,1745
2005/10/18,1070,1737
2005/10/19,1050,1700
2005/10/20,1040,1680
2005/10/21,1030,1710
2005/10/24,1000,1660
2005/10/25,1100,1750
2005/10/26,1065,1770
2005/10/27,1095,1800
2005/10/28,1109,1800
2005/10/31,1125,1840
2005/11/01,1149,1830
2005/11/02,1130,1830
2005/11/03,1140,1900
2005/11/04,1130,1885
2005/11/07,1175,1893
2005/11/08,1181,1851
2005/11/09,1190,1786
2005/11/10,1190,1870
2005/11/11,1200,1890
2005/11/14,1190,1825
2005/11/15,1180,1840
2005/11/16,1175,1850
2005/11/17,1170,1840
2005/11/18,1140,1840
2005/11/21,1139,1830
2005/11/22,1100,1800
2005/11/23,1100,1820
2005/11/24,1105,1800
2005/11/25,1140,1860
2005/11/28,1155,1855
2005/11/29,1165,1815
2005/11/30,1170,1805
2005/12/01,1185,1820
2005/12/02,1195,1850
2005/12/05,1190,1870
2005/12/06,1200,1870
2005/12/07,1200,1870
2005/12/08,1235,1873
2005/12/09,1250,1881
2005/12/12,1330,1885
2005/12/13,1329,1880
2005/12/14,1290,1880
2005/12/15,1325,1880
2005/12/19,1320,1890
2005/12/20,1350,1860
2005/12/21,1375,1870
2005/12/22,1400,1873
2005/12/23,1500,1880
2005/12/27,1575,1880
2005/12/28,1575,1902
2005/12/29,1600,1940
2005/12/30,1650,1949
2006/01/03,1605,1990
2006/01/04,1535,2030
2006/01/05,1570,2040
2006/01/06,1565,2050
2006/01/09,1520,2120
2006/01/10,1532,2146
2006/01/11,1530,2210
2006/01/12,1561,2280
2006/01/13,1599,2280
2006/01/16,1580,2270
2006/01/17,1560,2320
2006/01/18,1566,2307
2006/01/19,1571,2395
2006/01/20,1650,2390
2006/01/23,1610,2375
2006/01/24,1660,2385
2006/01/25,1690,2379
2006/01/26,1700,2375
2006/01/27,1700,2350
2006/01/30,1705,2310
2006/01/31,1705,2252
2006/02/01,1701,2280
2006/02/02,1740,2310
2006/02/03,1735,2300
2006/02/06,1790,2270
2006/02/07,1790,2300
2006/02/08,1750,2300
2006/02/09,1758,2275
2006/02/10,1750,2270
2006/02/13,1750,2230
2006/02/14,1760,2250
2006/02/15,1782,2260
2006/02/16,1796,2280
2006/02/17,1800,2340
2006/02/20,1830,2345
2006/02/21,1875,2300
2006/02/22,1990,2300
2006/02/23,2051,2360
2006/02/24,2102,2380
2006/02/27,2200,2400
2006/02/28,2266,2301
2006/03/02,2375,2350
